name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/1/manual_time_mean",5,205310,55374.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/1/manual_time_median",5,203636,54417.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/1/manual_time_stddev",5,11243.3,4622.21,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/4/manual_time_mean",5,195543,50828.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/4/manual_time_median",5,195497,50296.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/4/manual_time_stddev",5,3250.87,1536.42,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/16/manual_time_mean",5,195322,51538,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/16/manual_time_median",5,194828,51312.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/16/manual_time_stddev",5,1623.45,544.418,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/64/manual_time_mean",5,197137,50428.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/64/manual_time_median",5,195666,50458.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/64/manual_time_stddev",5,5120.63,1079.39,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/256/manual_time_mean",5,200815,51911.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/256/manual_time_median",5,198961,51584.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/256/manual_time_stddev",5,6888.22,2013.07,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/1024/manual_time_mean",5,200024,53227.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/1024/manual_time_median",5,198757,52141.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/1024/manual_time_stddev",5,9001.8,3949.45,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/4096/manual_time_mean",5,199460,53118,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/4096/manual_time_median",5,200201,53067.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/4096/manual_time_stddev",5,1813.78,776.061,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/16384/manual_time_mean",5,197165,52977.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/16384/manual_time_median",5,197244,52717.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/16384/manual_time_stddev",5,2334.08,1372.63,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/65536/manual_time_mean",5,206186,54538.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/65536/manual_time_median",5,206366,54619.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/65536/manual_time_stddev",5,2067.67,607.41,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/262144/manual_time_mean",5,249897,60006.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/262144/manual_time_median",5,249395,59504.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/262144/manual_time_stddev",5,2941.23,1398.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/1048576/manual_time_mean",5,399303,70780.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/1048576/manual_time_median",5,397481,70934.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/1048576/manual_time_stddev",5,4307.08,2270.11,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/4194304/manual_time_mean",5,1.05591e+06,143986,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/4194304/manual_time_median",5,1.06574e+06,145780,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/4194304/manual_time_stddev",5,22103.6,8212.69,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/16777216/manual_time_mean",5,3.68176e+06,401387,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/16777216/manual_time_median",5,3.79074e+06,425590,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Prim_real/16777216/manual_time_stddev",5,227439,59324.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Rev_real/1/manual_time_mean",5,293081,71543.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Rev_real/1/manual_time_median",5,295536,71461.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Rev_real/1/manual_time_stddev",5,4783.82,1167.26,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Rev_real/4/manual_time_mean",5,284265,69371.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Rev_real/4/manual_time_median",5,280367,69068.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Rev_real/4/manual_time_stddev",5,10099.3,1116.23,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Rev_real/16/manual_time_mean",5,291743,71437.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Rev_real/16/manual_time_median",5,287062,70702.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Rev_real/16/manual_time_stddev",5,9668.61,1736.77,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Rev_real/64/manual_time_mean",5,289872,71066.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Rev_real/64/manual_time_median",5,291396,70690.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Rev_real/64/manual_time_stddev",5,7516.71,1222.17,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Rev_real/256/manual_time_mean",5,290177,69867.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Rev_real/256/manual_time_median",5,290887,69951.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Rev_real/256/manual_time_stddev",5,7830.09,792.041,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_real_Rev_real/1024/manual_time_mean",5,289674,71059,ns,,,,,
