name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/1/manual_time_mean",5,258749,77714.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/1/manual_time_median",5,259220,77349.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/1/manual_time_stddev",5,7997.85,3862.88,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/4/manual_time_mean",5,252204,73239.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/4/manual_time_median",5,251645,73349.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/4/manual_time_stddev",5,3415.28,747.607,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/16/manual_time_mean",5,248917,73649.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/16/manual_time_median",5,248739,73122,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/16/manual_time_stddev",5,2689.53,1345.92,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/64/manual_time_mean",5,251868,73290.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/64/manual_time_median",5,249996,72737.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/64/manual_time_stddev",5,4469.72,1137.59,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/256/manual_time_mean",5,250505,73638.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/256/manual_time_median",5,250381,73793.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/256/manual_time_stddev",5,752.029,469.786,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/1024/manual_time_mean",5,251456,74119.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/1024/manual_time_median",5,251783,73979.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/1024/manual_time_stddev",5,2523.94,683.666,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/4096/manual_time_mean",5,248243,72236.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/4096/manual_time_median",5,246769,71984.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/4096/manual_time_stddev",5,3244.85,814.195,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/16384/manual_time_mean",5,251991,74113.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/16384/manual_time_median",5,251425,73162.6,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/16384/manual_time_stddev",5,2768.42,1765.65,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/65536/manual_time_mean",5,262328,73868.9,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/65536/manual_time_median",5,261876,73420,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/65536/manual_time_stddev",5,2690.71,1064.59,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/262144/manual_time_mean",5,312357,78445.8,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/262144/manual_time_median",5,309606,78640.1,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/262144/manual_time_stddev",5,5318.92,841.379,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_mean",5,463879,85911.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_median",5,461629,84954.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_stddev",5,7883.02,3158.38,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_mean",5,1.30809e+06,191395,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_median",5,1.31278e+06,192017,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_stddev",5,29121.3,16429.1,ns,,,,,
