name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_vector/1/manual_time_mean",5,286032,85657.5,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_vector/1/manual_time_median",5,291642,87208.3,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_vector/1/manual_time_stddev",5,11040.7,5590.52,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_vector/4/manual_time_mean",5,278757,80107.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_vector/4/manual_time_median",5,281620,79571.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_vector/4/manual_time_stddev",5,6180.37,1320.62,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_vector/16/manual_time_mean",5,285774,82536.7,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_vector/16/manual_time_median",5,288523,83917.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_vector/16/manual_time_stddev",5,7029.69,2795.58,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_vector/64/manual_time_mean",5,278515,80166.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_vector/64/manual_time_median",5,279346,79725,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_vector/64/manual_time_stddev",5,4589.39,1324.61,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_vector/256/manual_time_mean",5,278608,80285.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_vector/256/manual_time_median",5,277562,80001.2,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_vector/256/manual_time_stddev",5,4930.51,1487.62,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_mean",5,271366,80172.4,ns,,,,,
"exp_mod_normal_lpdf_Prim_vector_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_median",5,271602,79491.4,ns,,,,,
