name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exponential_lpdf_Prim_vector_Prim_real/1/manual_time_mean",5,164288,31779.7,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/1/manual_time_median",5,163554,31734.7,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/1/manual_time_stddev",5,5558.72,2421.27,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/4/manual_time_mean",5,159611,29112.4,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/4/manual_time_median",5,158908,29026.5,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/4/manual_time_stddev",5,2021.79,487.54,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/16/manual_time_mean",5,159224,29488.4,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/16/manual_time_median",5,159009,29260.6,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/16/manual_time_stddev",5,547.346,1049.46,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/64/manual_time_mean",5,159288,29263.2,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/64/manual_time_median",5,159225,29152.6,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/64/manual_time_stddev",5,944.261,579.188,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/256/manual_time_mean",5,159396,29047.3,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/256/manual_time_median",5,158787,29263.3,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/256/manual_time_stddev",5,1590.83,788.917,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/1024/manual_time_mean",5,159390,29083.1,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/1024/manual_time_median",5,158700,29017.6,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/1024/manual_time_stddev",5,1858.13,425.306,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/4096/manual_time_mean",5,162560,30442.4,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/4096/manual_time_median",5,162595,30318.9,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/4096/manual_time_stddev",5,914.24,3087.48,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/16384/manual_time_mean",5,159681,28832.2,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/16384/manual_time_median",5,159537,28733.5,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/16384/manual_time_stddev",5,448.418,645.475,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/65536/manual_time_mean",5,161414,31679.2,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_real/65536/manual_time_median",5,161862,31244,ns,,,,,
