name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exponential_lpdf_Prim_vector_Prim_vector/1/manual_time_mean",5,187659,37540.9,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/1/manual_time_median",5,184865,36680,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/1/manual_time_stddev",5,5978.04,2572.36,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/4/manual_time_mean",5,187055,35969,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/4/manual_time_median",5,187440,36006,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/4/manual_time_stddev",5,3140.48,352.05,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/16/manual_time_mean",5,185493,36968.1,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/16/manual_time_median",5,184146,36852.3,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/16/manual_time_stddev",5,3866.62,1523.4,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/64/manual_time_mean",5,189526,36298.3,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/64/manual_time_median",5,190774,36292.6,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/64/manual_time_stddev",5,3319.55,1008.53,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/256/manual_time_mean",5,185386,37120.6,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/256/manual_time_median",5,184590,37152.7,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/256/manual_time_stddev",5,2370.53,1300.81,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/1024/manual_time_mean",5,191915,39246.3,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/1024/manual_time_median",5,192972,38162.3,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/1024/manual_time_stddev",5,5963.38,2822.68,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/4096/manual_time_mean",5,191324,37262.4,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/4096/manual_time_median",5,192271,36558.5,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/4096/manual_time_stddev",5,7113.76,1546.7,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/16384/manual_time_mean",5,189580,38559,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/16384/manual_time_median",5,188865,38422.4,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/16384/manual_time_stddev",5,2023.58,568.202,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/65536/manual_time_mean",5,192431,41264.3,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/65536/manual_time_median",5,191195,39716.8,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/65536/manual_time_stddev",5,4212.92,4715.72,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/262144/manual_time_mean",5,225687,42898.7,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/262144/manual_time_median",5,226360,42931.1,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/262144/manual_time_stddev",5,5211.75,1069.79,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/1048576/manual_time_mean",5,318519,51623.1,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/1048576/manual_time_median",5,322160,51072,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,9229.42,2081.31,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/4194304/manual_time_mean",5,729373,76140.7,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/4194304/manual_time_median",5,728724,75440.3,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/4194304/manual_time_stddev",5,4676.13,1436.07,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/16777216/manual_time_mean",5,2.65626e+06,313234,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/16777216/manual_time_median",5,2.64973e+06,323123,ns,,,,,
"exponential_lpdf_Prim_vector_Prim_vector/16777216/manual_time_stddev",5,44358.2,34649.7,ns,,,,,
"exponential_lpdf_Prim_vector_Rev_vector/1/manual_time_mean",5,438868,110936,ns,,,,,
"exponential_lpdf_Prim_vector_Rev_vector/1/manual_time_median",5,441881,110578,ns,,,,,
"exponential_lpdf_Prim_vector_Rev_vector/1/manual_time_stddev",5,8201.93,2146.14,ns,,,,,
"exponential_lpdf_Prim_vector_Rev_vector/4/manual_time_mean",5,434748,112403,ns,,,,,
"exponential_lpdf_Prim_vector_Rev_vector/4/manual_time_median",5,438839,112559,ns,,,,,
