name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_mean",5,188226,51905.6,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_median",5,184146,51269.5,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_stddev",5,9524.7,3617.25,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_mean",5,183759,48562.4,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_median",5,183099,48424.5,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_stddev",5,3618.9,996.834,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_mean",5,181404,48597,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_median",5,181273,48436.4,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_stddev",5,1150.37,676.718,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_mean",5,188389,48837.1,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_median",5,189115,48822.4,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_stddev",5,2568.71,813.606,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_mean",5,187048,49397.2,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_median",5,185321,48960.5,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_stddev",5,3938.89,1843.68,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_mean",5,184691,49056.2,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_median",5,183448,49161.4,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_stddev",5,3181.56,593.273,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_mean",5,183070,49071.2,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_median",5,184030,48786.2,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_stddev",5,1778.92,682.806,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_mean",5,189176,51012.1,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_median",5,189718,50481.5,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_stddev",5,2696.2,979.211,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_mean",5,210800,55575.4,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_median",5,211531,56896.4,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_stddev",5,4686.63,3442.31,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_mean",5,281327,55934.3,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_median",5,280586,56295.2,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_stddev",5,3559.38,748.599,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_mean",5,590018,86740,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_median",5,588224,87340.6,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_stddev",5,6555.81,7816.61,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_mean",5,1.71326e+06,214771,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_median",5,1.66055e+06,206214,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_stddev",5,208651,48949.7,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_mean",5,4.59629e+06,437434,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_median",5,4.66326e+06,455557,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_stddev",5,333561,64084.6,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/1/manual_time_mean",5,259858,60242.6,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/1/manual_time_median",5,263033,59947.7,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/1/manual_time_stddev",5,7303.64,862.963,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/4/manual_time_mean",5,260628,60723.8,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/4/manual_time_median",5,262283,60911.9,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/4/manual_time_stddev",5,6727.16,1141.3,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/16/manual_time_mean",5,252824,60098.5,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/16/manual_time_median",5,253307,60070.9,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/16/manual_time_stddev",5,1510.96,458.566,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/64/manual_time_mean",5,254493,60667.1,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/64/manual_time_median",5,255471,60609.4,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/64/manual_time_stddev",5,5800.79,1361.45,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/256/manual_time_mean",5,256030,59677.3,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/256/manual_time_median",5,255846,59531.2,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/256/manual_time_stddev",5,3161.06,335.276,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/1024/manual_time_mean",5,259519,60283.5,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/1024/manual_time_median",5,259209,59692.7,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/1024/manual_time_stddev",5,4105.79,1660.43,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/4096/manual_time_mean",5,279696,65485.2,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/4096/manual_time_median",5,275186,63522.1,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/4096/manual_time_stddev",5,13628.5,4387.83,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/16384/manual_time_mean",5,268023,63149.7,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/16384/manual_time_median",5,267095,62928.7,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/16384/manual_time_stddev",5,2944.19,1158.09,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/65536/manual_time_mean",5,300291,68508,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/65536/manual_time_median",5,300718,69654.6,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/65536/manual_time_stddev",5,11436,3151.76,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/262144/manual_time_mean",5,421110,72695.4,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/262144/manual_time_median",5,420818,73275.6,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/262144/manual_time_stddev",5,3075.48,1667.77,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/1048576/manual_time_mean",5,799656,98523.8,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/1048576/manual_time_median",5,787095,97138.8,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/1048576/manual_time_stddev",5,28820.3,8322.84,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/4194304/manual_time_mean",5,2.47305e+06,275224,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/4194304/manual_time_median",5,2.50745e+06,287211,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/4194304/manual_time_stddev",5,135187,58591.2,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/16777216/manual_time_mean",5,8.0118e+06,684287,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/16777216/manual_time_median",5,8.02864e+06,692801,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Rev_real/16777216/manual_time_stddev",5,166441,27068.6,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/1/manual_time_mean",5,435211,128591,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/1/manual_time_median",5,433228,127829,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/1/manual_time_stddev",5,8866.86,2844.69,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/4/manual_time_mean",5,430120,124782,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/4/manual_time_median",5,430593,125424,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/4/manual_time_stddev",5,4480.37,1530.54,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/16/manual_time_mean",5,433453,126229,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/16/manual_time_median",5,433297,125511,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/16/manual_time_stddev",5,2701.28,2075.08,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/64/manual_time_mean",5,426797,127102,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/64/manual_time_median",5,426231,127040,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/64/manual_time_stddev",5,5317.39,912.707,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/256/manual_time_mean",5,427980,127972,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/256/manual_time_median",5,428636,128191,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/256/manual_time_stddev",5,5456.31,961.628,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/1024/manual_time_mean",5,441152,132232,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/1024/manual_time_median",5,441699,132308,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/1024/manual_time_stddev",5,8908.69,2698.14,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/4096/manual_time_mean",5,460287,148763,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/4096/manual_time_median",5,460162,148957,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/4096/manual_time_stddev",5,3694.62,1372.47,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/16384/manual_time_mean",5,561536,198679,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/16384/manual_time_median",5,562703,200440,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/16384/manual_time_stddev",5,12361.3,5225,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/65536/manual_time_mean",5,1.01929e+06,474625,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/65536/manual_time_median",5,1.00615e+06,468420,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/65536/manual_time_stddev",5,23015.3,19721.8,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/262144/manual_time_mean",5,3.59419e+06,1.9786e+06,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/262144/manual_time_median",5,3.61288e+06,1.99812e+06,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/262144/manual_time_stddev",5,64662.3,42000.6,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/1048576/manual_time_mean",5,1.42145e+07,1.13731e+07,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/1048576/manual_time_median",5,1.42003e+07,1.14003e+07,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/1048576/manual_time_stddev",5,145349,92417,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/4194304/manual_time_mean",5,5.27444e+07,4.2369e+07,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/4194304/manual_time_median",5,5.26551e+07,4.21382e+07,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/4194304/manual_time_stddev",5,706984,518473,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/16777216/manual_time_mean",5,1.80274e+08,1.53615e+08,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/16777216/manual_time_median",5,1.80342e+08,1.53513e+08,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Prim_real/16777216/manual_time_stddev",5,873076,1.06801e+06,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/1/manual_time_mean",5,519438,134572,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/1/manual_time_median",5,511265,133097,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/1/manual_time_stddev",5,18420.8,6027.85,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/4/manual_time_mean",5,507681,134424,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/4/manual_time_median",5,508143,134471,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/4/manual_time_stddev",5,2980.71,5741.27,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/16/manual_time_mean",5,527511,143364,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/16/manual_time_median",5,520468,138951,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/16/manual_time_stddev",5,28840,11578.4,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/64/manual_time_mean",5,529487,142974,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/64/manual_time_median",5,521147,141714,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/64/manual_time_stddev",5,20953.3,5787.75,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/256/manual_time_mean",5,518169,142337,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/256/manual_time_median",5,520791,141809,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/256/manual_time_stddev",5,9583.07,3744.36,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/1024/manual_time_mean",5,530011,146670,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/1024/manual_time_median",5,525266,146385,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/1024/manual_time_stddev",5,13273.5,3480.36,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/4096/manual_time_mean",5,532574,160210,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/4096/manual_time_median",5,533944,160646,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/4096/manual_time_stddev",5,13080.5,4373.72,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/16384/manual_time_mean",5,644876,213980,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/16384/manual_time_median",5,636322,212683,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/16384/manual_time_stddev",5,13573.8,4230.76,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/65536/manual_time_mean",5,1.08867e+06,460953,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/65536/manual_time_median",5,1.09482e+06,465953,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/65536/manual_time_stddev",5,27569.6,21072.6,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/262144/manual_time_mean",5,3.77097e+06,2.02878e+06,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/262144/manual_time_median",5,3.77572e+06,2.03807e+06,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/262144/manual_time_stddev",5,45895.9,36528.4,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/1048576/manual_time_mean",5,1.46147e+07,1.1522e+07,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/1048576/manual_time_median",5,1.45328e+07,1.15206e+07,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/1048576/manual_time_stddev",5,166316,130688,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/4194304/manual_time_mean",5,5.67951e+07,4.52402e+07,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/4194304/manual_time_median",5,5.6091e+07,4.49936e+07,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/4194304/manual_time_stddev",5,1.91094e+06,1.37342e+06,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/16777216/manual_time_mean",5,1.8579e+08,1.57173e+08,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/16777216/manual_time_median",5,1.82554e+08,1.54575e+08,ns,,,,,
"frechet_lpdf_Prim_real_Rev_vector_Rev_real/16777216/manual_time_stddev",5,5.45825e+06,5.13692e+06,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/1/manual_time_mean",5,279792,65498.9,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/1/manual_time_median",5,279275,66032.6,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/1/manual_time_stddev",5,18076.7,5070.35,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/4/manual_time_mean",5,268525,61433.1,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/4/manual_time_median",5,269905,61175.7,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/4/manual_time_stddev",5,6898.36,1574.62,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/16/manual_time_mean",5,259170,60972.2,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/16/manual_time_median",5,257787,60805,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/16/manual_time_stddev",5,6484.21,547.896,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/64/manual_time_mean",5,255162,62255.3,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/64/manual_time_median",5,249817,60013.9,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/64/manual_time_stddev",5,11594.1,4871.64,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/256/manual_time_mean",5,266496,61556.8,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/256/manual_time_median",5,267149,60505.1,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/256/manual_time_stddev",5,13038.7,2665.02,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/1024/manual_time_mean",5,256665,60864.3,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/1024/manual_time_median",5,254150,60925.2,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/1024/manual_time_stddev",5,4446.59,574.959,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/4096/manual_time_mean",5,257436,60454.7,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/4096/manual_time_median",5,255218,60646.9,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/4096/manual_time_stddev",5,7654.89,1181.37,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/16384/manual_time_mean",5,269822,62794.2,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/16384/manual_time_median",5,269430,62480.4,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/16384/manual_time_stddev",5,5102.57,1466.97,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/65536/manual_time_mean",5,309987,69826.1,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/65536/manual_time_median",5,310010,68968.8,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/65536/manual_time_stddev",5,3924.33,2239.67,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/262144/manual_time_mean",5,421719,71662,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/262144/manual_time_median",5,420976,71612.8,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/262144/manual_time_stddev",5,3983.67,585.279,ns,,,,,
"frechet_lpdf_Rev_real_Prim_vector_Prim_real/1048576/manual_time_mean",5,767177,87345.9,ns,,,,,
