2021-01-01 08:59:39
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.14, 1.32, 1.34
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_mean",5,233767,63669.4,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_median",5,229280,61614,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_stddev",5,8641.93,6584.49,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_mean",5,228420,61187.7,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_median",5,226879,60866.2,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_stddev",5,7640.75,1630.21,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_mean",5,225869,60747.7,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_median",5,224628,61340.4,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_stddev",5,4323.79,1209.63,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_mean",5,224421,60355.1,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_median",5,224825,61179.5,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_stddev",5,3479.3,2465.07,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_mean",5,226136,60846.8,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_median",5,227159,61148.1,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_stddev",5,2547.99,986.031,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_mean",5,227152,60683,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_median",5,225352,61032,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/1024/manual_time_stddev",5,5379.39,863.398,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_mean",5,226268,60511.5,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_median",5,226875,60210.8,ns,,,,,
"frechet_lpdf_Prim_real_Prim_vector_Prim_vector/4096/manual_time_stddev",5,1014.02,879.419,ns,,,,,
