name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_mean",5,194660,53221.7,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_median",5,193775,52706.6,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_stddev",5,7588.35,3272.25,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_mean",5,182657,48312.2,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_median",5,182084,47811.2,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_stddev",5,2977.24,1865.64,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_mean",5,181427,48066.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_median",5,179422,48270,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_stddev",5,5688.5,1767.16,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_mean",5,178914,47335,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_median",5,178836,47134.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_stddev",5,3303.46,1291.46,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_mean",5,178702,46525.6,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_median",5,179672,46362.8,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_stddev",5,2389.35,323.556,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_mean",5,180692,47198.6,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_median",5,179674,47213.7,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_stddev",5,1913.04,899.985,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_mean",5,179453,46716.9,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_median",5,180046,46775.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_stddev",5,2159.64,676.474,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_mean",5,186765,48658.2,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_median",5,185053,48332.1,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_stddev",5,3983.46,1851.76,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_mean",5,209619,53839.4,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_median",5,210123,53665.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_stddev",5,3439.9,1169.75,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_mean",5,266134,54870.2,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_median",5,265354,54615.7,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_stddev",5,3060.71,1412.37,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_mean",5,555668,82441.7,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_median",5,555674,83687.2,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_stddev",5,6235.25,5987.32,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_mean",5,1.67661e+06,219379,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_median",5,1.70291e+06,221250,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_stddev",5,130991,35159,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_mean",5,4.39299e+06,419265,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_median",5,4.41606e+06,425008,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_stddev",5,84099.2,22239.7,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_mean",5,262282,60353.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_median",5,266681,60531.4,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/1/manual_time_stddev",5,10357.5,1215.74,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_mean",5,262335,59899.2,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_median",5,261193,59961.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/4/manual_time_stddev",5,9575.9,1258.85,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_mean",5,258502,60531.8,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_median",5,257565,60536.6,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/16/manual_time_stddev",5,4816.61,722.985,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_mean",5,251405,59374.1,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_median",5,251542,60044,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/64/manual_time_stddev",5,7635.05,1356.81,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_mean",5,255579,59154.3,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_median",5,255617,59740.6,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/256/manual_time_stddev",5,6701.31,2180.63,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/1024/manual_time_mean",5,264994,60911,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/1024/manual_time_median",5,264562,60128.4,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/1024/manual_time_stddev",5,6355.18,4454.57,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/4096/manual_time_mean",5,253940,59031.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/4096/manual_time_median",5,252994,58818.4,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/4096/manual_time_stddev",5,5136.34,972.114,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/16384/manual_time_mean",5,261336,61398.2,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/16384/manual_time_median",5,260232,60877.9,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/16384/manual_time_stddev",5,6859.41,1733.53,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/65536/manual_time_mean",5,298217,66222.9,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/65536/manual_time_median",5,298665,66004.6,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/65536/manual_time_stddev",5,12315.5,1800.44,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/262144/manual_time_mean",5,414254,74095.7,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/262144/manual_time_median",5,416408,74280.2,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/262144/manual_time_stddev",5,5575.57,3385.96,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/1048576/manual_time_mean",5,733245,85454.8,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/1048576/manual_time_median",5,733246,85905.8,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/1048576/manual_time_stddev",5,6088.61,2193.59,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/4194304/manual_time_mean",5,2.33685e+06,250859,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/4194304/manual_time_median",5,2.34601e+06,265523,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/4194304/manual_time_stddev",5,33587.3,27704.9,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/16777216/manual_time_mean",5,7.53131e+06,618156,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/16777216/manual_time_median",5,7.41747e+06,607486,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Rev_real/16777216/manual_time_stddev",5,441766,28797,ns,,,,,
"frechet_lpdf_Prim_vector_Rev_real_Prim_real/1/manual_time_mean",5,250189,58928.9,ns,,,,,
"frechet_lpdf_Prim_vector_Rev_real_Prim_real/1/manual_time_median",5,246853,58740.9,ns,,,,,
"frechet_lpdf_Prim_vector_Rev_real_Prim_real/1/manual_time_stddev",5,6731.89,577.896,ns,,,,,
"frechet_lpdf_Prim_vector_Rev_real_Prim_real/4/manual_time_mean",5,255664,59595.8,ns,,,,,
