name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_mean",5,231184,65108.2,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_median",5,231249,64202.7,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_stddev",5,9397.11,6037.63,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_mean",5,225778,60054.2,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_median",5,225734,59957.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_stddev",5,1231.35,903.159,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_mean",5,222473,60069.7,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_median",5,220473,59759.3,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_stddev",5,3826.46,702.178,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_mean",5,223300,60087.8,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_median",5,224736,59498.7,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_stddev",5,3701.97,830.677,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_mean",5,222739,59935.9,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_median",5,222745,60378.4,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_stddev",5,1160.49,1309.4,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_mean",5,223843,60113.2,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_median",5,224478,60173.8,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_stddev",5,6107.37,1153.35,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_mean",5,226238,59965.4,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_median",5,223513,59751.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_stddev",5,5077.4,458.323,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_mean",5,222980,60606.6,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_median",5,222470,59973.8,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_stddev",5,5890.94,2335.38,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_mean",5,255200,63744.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_median",5,256532,63865.8,ns,,,,,
