name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_mean",5,235543,65137.9,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_median",5,232124,63714.6,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_stddev",5,6266.58,3092.63,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_mean",5,232320,62206.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_median",5,232259,61445.1,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_stddev",5,5115.43,2166.95,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_mean",5,227155,60581.1,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_median",5,226500,60587,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_stddev",5,1345.29,764.459,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_mean",5,229910,63176,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_median",5,229659,62341.2,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_stddev",5,3557.87,3029.49,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_mean",5,222605,59615.7,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_median",5,222516,59631.3,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_stddev",5,1878.12,944.454,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_mean",5,225159,61547.9,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_median",5,222321,59279.8,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_stddev",5,6716.19,5102.88,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_mean",5,226943,60250.7,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_median",5,228034,60331.8,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_stddev",5,3322.12,689.839,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_mean",5,227089,60689.3,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_median",5,227265,60609.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_stddev",5,2787.39,507.254,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_mean",5,249782,63810.1,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_median",5,250155,64194.6,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_stddev",5,1644.71,1319.72,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_mean",5,342453,71331.9,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_median",5,344529,72240.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_stddev",5,4429.61,2912.03,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_mean",5,707524,104137,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_median",5,707695,103624,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_stddev",5,9937.94,3690.64,ns,,,,,
