name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_mean",5,262800,71427.6,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_median",5,262644,70811.6,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_stddev",5,7667.42,4059.32,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_mean",5,260432,70326,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_median",5,259905,71335.7,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_stddev",5,3439.68,1840.8,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_mean",5,261344,69956.9,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_median",5,257922,69481,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_stddev",5,8459.59,1315.82,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_mean",5,257901,69969.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_median",5,255837,69286.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_stddev",5,4200.88,1306.92,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_mean",5,253117,69187.6,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_median",5,253337,69449.7,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_stddev",5,1245.64,798.375,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_mean",5,251519,68499.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_median",5,250902,68338.4,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_stddev",5,1593.66,838.74,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_mean",5,261145,69295.5,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_median",5,257063,69136.8,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_stddev",5,7678.93,1420.54,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_mean",5,252612,68545.9,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_median",5,250811,68835.2,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_stddev",5,4214.81,541.945,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_mean",5,289176,73945.3,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_median",5,285863,71461.2,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_stddev",5,6349,6045.42,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_mean",5,381109,78528.9,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_median",5,378224,78714,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_stddev",5,5443.03,2202.66,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_mean",5,805441,122646,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_median",5,809920,122999,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,9629.69,2979.28,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_mean",5,2.43961e+06,319797,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_median",5,2.42848e+06,327536,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_stddev",5,55683.9,15395.3,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16777216/manual_time_mean",5,6.32126e+06,613637,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16777216/manual_time_median",5,6.33822e+06,609581,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Prim_vector/16777216/manual_time_stddev",5,285658,42164.7,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/1/manual_time_mean",5,509597,152490,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/1/manual_time_median",5,506750,151864,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/1/manual_time_stddev",5,11763.8,4242.49,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/4/manual_time_mean",5,502241,148170,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/4/manual_time_median",5,500278,147453,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/4/manual_time_stddev",5,4019.3,2892.65,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/16/manual_time_mean",5,506902,150444,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/16/manual_time_median",5,506342,151189,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/16/manual_time_stddev",5,7835.81,2337.31,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/64/manual_time_mean",5,504547,148117,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/64/manual_time_median",5,503472,147448,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/64/manual_time_stddev",5,4330.79,1430.62,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/256/manual_time_mean",5,506911,153564,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/256/manual_time_median",5,506643,154309,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/256/manual_time_stddev",5,6852.61,3875.76,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/1024/manual_time_mean",5,510517,153988,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/1024/manual_time_median",5,509226,154140,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/1024/manual_time_stddev",5,7153.84,889.712,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/4096/manual_time_mean",5,532115,168837,ns,,,,,
"frechet_lpdf_Prim_vector_Prim_vector_Rev_vector/4096/manual_time_median",5,530637,168731,ns,,,,,
