2021-01-01 11:34:30
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.20, 1.26, 1.31
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,192697,47599.3,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,189669,46232.8,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,9131.67,3564.6,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,191434,47821.6,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,191691,47700.2,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,3212.06,1892.93,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,187903,46215.2,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,187570,45911.9,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,2440.29,745.067,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,188899,45248,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,188671,45359.8,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,3817.12,737.005,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,187098,45426.8,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,187324,45623.7,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,1594,1502.29,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,194466,45326.3,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,196735,45301.9,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,6037.83,646.689,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,185449,45898.5,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,185682,46120.1,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,753.343,788.897,ns,,,,,
"gamma_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,186076,45592.6,ns,,,,,
