2021-01-01 11:48:56
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.23, 1.28, 1.32
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_mean",5,209385,53486.8,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_median",5,209684,54011.7,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_stddev",5,3673.52,4411.35,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_mean",5,195818,48940.1,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_median",5,195735,48957,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_stddev",5,600.941,1047.11,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_mean",5,200233,50417.2,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_median",5,199609,49613.7,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_stddev",5,5903.71,2422.59,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_mean",5,197512,49100.4,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_median",5,196594,49432.9,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_stddev",5,4698.46,1261.94,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_mean",5,195251,49058.3,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_median",5,194786,49010.3,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_stddev",5,2241.29,1959.63,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_mean",5,197632,47341.6,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_median",5,199108,47682.8,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_stddev",5,4697.08,1133.22,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_mean",5,194220,47711.5,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_median",5,194176,47577.1,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_stddev",5,2707.86,1243.9,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_mean",5,194003,48688.8,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_median",5,193780,48507.7,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_stddev",5,1020.42,577.19,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_mean",5,204515,51051.1,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_median",5,203363,50660.1,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_stddev",5,3045.23,1457.95,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_mean",5,256002,57908,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_median",5,254889,57891.4,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_stddev",5,2604.95,740.508,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_mean",5,439090,75189.9,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_median",5,440760,75515.2,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_stddev",5,5776.15,1997.18,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_mean",5,1.26254e+06,186017,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_median",5,1.25497e+06,182710,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_stddev",5,15011.6,9853.53,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_mean",5,4.61271e+06,606123,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_median",5,4.60423e+06,602484,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_stddev",5,63527.7,24527.7,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/1/manual_time_mean",5,266895,62577.8,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/1/manual_time_median",5,265618,62771.5,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/1/manual_time_stddev",5,6447.91,1342.6,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/4/manual_time_mean",5,275141,62956.5,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/4/manual_time_median",5,272699,62606.7,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/4/manual_time_stddev",5,7475.95,1932.25,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/16/manual_time_mean",5,274266,63272.3,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/16/manual_time_median",5,274227,63194,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/16/manual_time_stddev",5,9740.94,2049.59,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/64/manual_time_mean",5,264389,62567.7,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/64/manual_time_median",5,264314,62920.2,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/64/manual_time_stddev",5,6564.13,1530.95,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/256/manual_time_mean",5,273447,62962.5,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/256/manual_time_median",5,272170,63249.8,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/256/manual_time_stddev",5,6283.14,748.254,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/1024/manual_time_mean",5,272718,63719.1,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/1024/manual_time_median",5,274277,63848,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/1024/manual_time_stddev",5,2706.73,1114.54,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/4096/manual_time_mean",5,278348,64976.7,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/4096/manual_time_median",5,272351,65952.4,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/4096/manual_time_stddev",5,13457.7,1972.5,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/16384/manual_time_mean",5,283950,65074.9,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/16384/manual_time_median",5,284469,65407.8,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/16384/manual_time_stddev",5,8697.59,1482.28,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/65536/manual_time_mean",5,304805,69806.4,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/65536/manual_time_median",5,302911,70329,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/65536/manual_time_stddev",5,12595.4,2315.95,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/262144/manual_time_mean",5,413371,79395.2,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/262144/manual_time_median",5,412256,79438.5,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/262144/manual_time_stddev",5,5756.3,3755.69,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/1048576/manual_time_mean",5,675491,96429.1,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/1048576/manual_time_median",5,675633,98044.9,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/1048576/manual_time_stddev",5,7636.36,2926.48,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/4194304/manual_time_mean",5,1.96941e+06,252311,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/4194304/manual_time_median",5,1.98084e+06,254495,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/4194304/manual_time_stddev",5,39958.8,11538.8,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/16777216/manual_time_mean",5,7.10757e+06,764562,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/16777216/manual_time_median",5,7.13505e+06,775672,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Rev_real/16777216/manual_time_stddev",5,60657.7,33673.1,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/1/manual_time_mean",5,506709,138009,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/1/manual_time_median",5,506001,138565,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/1/manual_time_stddev",5,5501.53,1809.71,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/4/manual_time_mean",5,506665,136188,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/4/manual_time_median",5,505701,135522,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/4/manual_time_stddev",5,5675.23,1918.6,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/16/manual_time_mean",5,499360,136130,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/16/manual_time_median",5,496500,136433,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/16/manual_time_stddev",5,8591.29,643.44,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/64/manual_time_mean",5,500127,135695,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/64/manual_time_median",5,500438,136448,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/64/manual_time_stddev",5,7083.4,2685.59,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/256/manual_time_mean",5,497686,137526,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/256/manual_time_median",5,497977,138190,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/256/manual_time_stddev",5,2220.68,1734.56,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/1024/manual_time_mean",5,506469,143622,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/1024/manual_time_median",5,510611,141681,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/1024/manual_time_stddev",5,7738.52,5770.1,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/4096/manual_time_mean",5,528176,158900,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/4096/manual_time_median",5,527301,156654,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/4096/manual_time_stddev",5,11057.6,4173.25,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/16384/manual_time_mean",5,621172,207303,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/16384/manual_time_median",5,621709,206027,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/16384/manual_time_stddev",5,5333.53,3853.01,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/65536/manual_time_mean",5,1.04686e+06,456660,ns,,,,,
"gamma_lpdf_Prim_real_Rev_vector_Prim_real/65536/manual_time_median",5,1.04682e+06,456655,ns,,,,,
