2021-01-01 12:03:37
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.64, 1.60, 1.45
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_mean",5,239475,60427.9,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_median",5,237685,59613.7,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/1/manual_time_stddev",5,8475.14,4412.89,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_mean",5,236469,57681.3,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_median",5,240557,57674.7,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/4/manual_time_stddev",5,7249.09,1043.95,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_mean",5,230343,56947.5,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_median",5,227809,57206.1,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/16/manual_time_stddev",5,7140.69,571.443,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_mean",5,235837,57302.5,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_median",5,231710,57173.5,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/64/manual_time_stddev",5,7061.41,835.389,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_mean",5,231999,59036.6,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_median",5,228884,58218.9,ns,,,,,
"gamma_lpdf_Prim_real_Prim_vector_Prim_vector/256/manual_time_stddev",5,5975.13,2594.11,ns,,,,,
