2021-01-01 12:18:14
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 2.07, 2.09, 1.84
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_mean",5,189401,45462.5,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_median",5,184724,43485.2,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_stddev",5,8082.68,4704.1,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_mean",5,189014,45158,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_median",5,189814,44491.6,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_stddev",5,3992.28,1860.38,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_mean",5,184359,43775,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_median",5,183948,43672.9,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_stddev",5,903.888,613.397,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_mean",5,187878,44077,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_median",5,184165,43139,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_stddev",5,6783.98,2955.67,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_mean",5,186568,43024.9,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_median",5,186389,42474.9,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_stddev",5,4239.6,1257.51,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_mean",5,186668,43831.5,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_median",5,186409,44129.1,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_stddev",5,3109.97,920.483,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_mean",5,187085,43483.1,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_median",5,185458,43719.1,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_stddev",5,4262.05,706.513,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_mean",5,187527,44012.6,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_median",5,185497,43749.6,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_stddev",5,4405.93,474.98,ns,,,,,
