2021-01-01 12:32:51
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.09, 1.28, 1.57
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_mean",5,243997,63114.5,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_median",5,245525,62795.8,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_stddev",5,13823.5,6215.38,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_mean",5,223806,55709.4,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_median",5,224470,55684.1,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_stddev",5,4205.53,347.606,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_mean",5,225297,56053.7,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_median",5,224726,55982,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_stddev",5,6074.47,885.138,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_mean",5,219085,55101.1,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_median",5,218544,55090,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_stddev",5,2539.07,509.287,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_mean",5,224203,56784.9,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_median",5,224612,56635.8,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_stddev",5,4633.49,1513.05,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_mean",5,225780,54908,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_median",5,225387,54829.2,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_stddev",5,4099.23,809.005,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_mean",5,220986,55100.9,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_median",5,220589,55390.9,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4096/manual_time_stddev",5,5456.69,1376.71,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_mean",5,222858,56582.3,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_median",5,224747,56278.7,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/16384/manual_time_stddev",5,5527.41,1133.35,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_mean",5,231120,58448,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_median",5,229442,57941.4,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/65536/manual_time_stddev",5,4222.31,1341.57,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_mean",5,281096,64837.3,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_median",5,278731,64202,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/262144/manual_time_stddev",5,5588.51,1111.59,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_mean",5,456142,83392.1,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_median",5,455405,83532.6,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/1048576/manual_time_stddev",5,3737.34,2362.97,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_mean",5,1.25804e+06,183805,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_median",5,1.2621e+06,183879,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/4194304/manual_time_stddev",5,20288.1,17173.8,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_mean",5,4.52979e+06,630395,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_median",5,4.54549e+06,649309,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Prim_vector/16777216/manual_time_stddev",5,53550.3,38481.2,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/1/manual_time_mean",5,533241,144578,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/1/manual_time_median",5,536530,145194,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/1/manual_time_stddev",5,10477.5,1359.39,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/4/manual_time_mean",5,526451,143492,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/4/manual_time_median",5,525020,143886,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/4/manual_time_stddev",5,7176.08,1826.4,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/16/manual_time_mean",5,530236,146048,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/16/manual_time_median",5,530206,144906,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/16/manual_time_stddev",5,6159.51,2493.38,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/64/manual_time_mean",5,524148,144952,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/64/manual_time_median",5,530427,144972,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/64/manual_time_stddev",5,11786.8,2475.71,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/256/manual_time_mean",5,517558,146211,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/256/manual_time_median",5,515376,145528,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/256/manual_time_stddev",5,8349.05,1419.84,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/1024/manual_time_mean",5,525407,149466,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/1024/manual_time_median",5,526596,150255,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/1024/manual_time_stddev",5,5689.51,2128.79,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/4096/manual_time_mean",5,542927,164688,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/4096/manual_time_median",5,539787,164002,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/4096/manual_time_stddev",5,10101.4,4093.4,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/16384/manual_time_mean",5,646346,218272,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/16384/manual_time_median",5,653227,217366,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/16384/manual_time_stddev",5,12676.9,3244.16,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/65536/manual_time_mean",5,1.08125e+06,476443,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/65536/manual_time_median",5,1.08259e+06,476565,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/65536/manual_time_stddev",5,17853.3,14308.2,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/262144/manual_time_mean",5,3.60928e+06,1.96522e+06,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/262144/manual_time_median",5,3.63421e+06,1.97223e+06,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/262144/manual_time_stddev",5,56148.9,62857.8,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/1048576/manual_time_mean",5,1.41462e+07,1.13648e+07,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/1048576/manual_time_median",5,1.41784e+07,1.13167e+07,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/1048576/manual_time_stddev",5,162641,159340,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/4194304/manual_time_mean",5,5.08632e+07,4.15254e+07,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/4194304/manual_time_median",5,5.09695e+07,4.18005e+07,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/4194304/manual_time_stddev",5,957902,613338,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/16777216/manual_time_mean",5,1.71272e+08,1.49701e+08,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/16777216/manual_time_median",5,1.71501e+08,1.49832e+08,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_real_Rev_vector/16777216/manual_time_stddev",5,691937,604165,ns,,,,,
"gamma_lpdf_Prim_vector_Rev_real_Prim_vector/1/manual_time_mean",5,298313,70332.8,ns,,,,,
