name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_mean",5,243280,62362.3,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_median",5,240799,59871.5,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_stddev",5,10377.1,5306.66,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_mean",5,233172,59974.9,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_median",5,232016,59524.2,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_stddev",5,3644.09,1630.6,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_mean",5,236101,60246.7,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_median",5,235000,59463.6,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_stddev",5,5215.06,2229.56,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_mean",5,232257,59041.9,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_median",5,232350,59051.8,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_stddev",5,4031.7,872.676,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_mean",5,237287,59831.3,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_median",5,237210,60329.4,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_stddev",5,4867.65,960.268,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_mean",5,230847,57976.2,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_median",5,230368,58051.3,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_stddev",5,5453.39,1547.4,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_mean",5,228095,56693.4,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_median",5,226870,56477.6,ns,,,,,
