name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_mean",5,268287,66767,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_median",5,269540,67043,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_stddev",5,6432.53,2040.93,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_mean",5,267340,64808.9,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_median",5,266008,65148.2,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_stddev",5,4311.27,1196.77,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_mean",5,266808,65328.6,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_median",5,266603,65425.4,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_stddev",5,3978.75,1187.89,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_mean",5,264805,63816.7,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_median",5,261832,63945.4,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_stddev",5,7015.83,501.946,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_mean",5,268262,65808,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_median",5,268431,65349.7,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_stddev",5,4543.96,1414.52,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_mean",5,264846,64897.1,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_median",5,264447,64864.4,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_stddev",5,3213.56,762.568,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_mean",5,265261,63241.8,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_median",5,264529,63771.7,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_stddev",5,4606.9,1171.95,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_mean",5,271084,65666.6,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_median",5,271798,65043.7,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_stddev",5,4861.74,1935.11,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_mean",5,282719,68140.6,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_median",5,285345,66258.4,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_stddev",5,8257.51,3507.25,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_mean",5,351648,72609.8,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_median",5,347215,72901,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_stddev",5,7234.25,1271.46,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_mean",5,616393,91024.4,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_median",5,613027,91026.2,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,9707.52,840.208,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_mean",5,1.94744e+06,279325,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_median",5,1.96507e+06,284908,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_stddev",5,33459.3,15363.5,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/16777216/manual_time_mean",5,6.99152e+06,780105,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/16777216/manual_time_median",5,6.92529e+06,801725,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Prim_vector/16777216/manual_time_stddev",5,205967,74650,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/1/manual_time_mean",5,567295,156091,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/1/manual_time_median",5,564412,155799,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/1/manual_time_stddev",5,8711.65,1292.03,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/4/manual_time_mean",5,554708,154260,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/4/manual_time_median",5,554679,153228,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/4/manual_time_stddev",5,8765.53,2042.37,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/16/manual_time_mean",5,557528,156848,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/16/manual_time_median",5,551840,156979,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/16/manual_time_stddev",5,14894.6,2468.75,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/64/manual_time_mean",5,552910,155254,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/64/manual_time_median",5,549897,154729,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/64/manual_time_stddev",5,14137,2587.47,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/256/manual_time_mean",5,547451,157103,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/256/manual_time_median",5,549127,156932,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/256/manual_time_stddev",5,6956.15,2530.52,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/1024/manual_time_mean",5,562351,161805,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/1024/manual_time_median",5,562193,163670,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/1024/manual_time_stddev",5,11574.1,3065.84,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/4096/manual_time_mean",5,578902,173479,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/4096/manual_time_median",5,579297,173342,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/4096/manual_time_stddev",5,6711.39,2153.59,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/16384/manual_time_mean",5,685203,229481,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/16384/manual_time_median",5,683531,228859,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/16384/manual_time_stddev",5,8890.23,3442.08,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/65536/manual_time_mean",5,1.10297e+06,469804,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/65536/manual_time_median",5,1.08922e+06,462171,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/65536/manual_time_stddev",5,31570.3,17083.5,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/262144/manual_time_mean",5,3.74776e+06,2.01871e+06,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/262144/manual_time_median",5,3.74814e+06,2.00284e+06,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/262144/manual_time_stddev",5,49826.7,39400.5,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/1048576/manual_time_mean",5,1.39314e+07,1.09756e+07,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/1048576/manual_time_median",5,1.3972e+07,1.09983e+07,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/1048576/manual_time_stddev",5,328570,329138,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/4194304/manual_time_mean",5,5.16361e+07,4.13147e+07,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/4194304/manual_time_median",5,5.18162e+07,4.15021e+07,ns,,,,,
"gamma_lpdf_Prim_vector_Prim_vector_Rev_vector/4194304/manual_time_stddev",5,492593,653586,ns,,,,,
