name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,166505,40587.7,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,165220,39885.4,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,7949.78,4961.05,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,164336,36971.6,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,164019,36801.5,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,2938.08,921.511,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,166842,36710.1,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,166854,36698.3,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,1187.18,471.623,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,163276,37761.6,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,164113,37396.4,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,2386.26,1252.63,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,165941,37919.1,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,166290,37749,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,3851.47,1221.05,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,163248,37876.6,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,162595,37316.6,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,2932.48,1414.74,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,163061,37483,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,162158,37458.1,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,2422.1,476.19,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,167223,39741.3,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,166018,39344.6,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,2396.49,1875.58,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,172831,40647.8,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,169579,40745.6,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,5804.01,1387.11,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,214438,46924.9,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,214788,47329.9,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,3808.28,2279.78,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,346793,54882,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,347574,55249.7,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,2470.71,1912.58,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,940836,118496,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,940562,121005,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,7454.2,6296.12,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,3.40681e+06,361098,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,3.41749e+06,365318,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,45967.7,16015,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_mean",5,459792,121900,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_median",5,458144,122448,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_stddev",5,3870.23,3115.8,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_mean",5,458085,124719,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_median",5,460865,126137,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_stddev",5,9202.83,4251.88,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_mean",5,457110,125796,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_median",5,456023,126491,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_stddev",5,2508.18,2974.76,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_mean",5,461749,123461,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_median",5,463470,123071,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_stddev",5,4396.41,1959.94,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_mean",5,458765,125597,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_median",5,458775,126128,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_stddev",5,3853.82,2381.05,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_mean",5,467157,131623,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_median",5,466102,130988,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_stddev",5,3022.61,1947.71,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_mean",5,497934,149406,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_median",5,499927,147043,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_stddev",5,10624,5019.98,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_mean",5,586510,204111,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_median",5,587027,203620,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_stddev",5,1273.25,1804.57,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_mean",5,998037,441503,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_median",5,997492,446502,ns,,,,,
