name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_mean",5,166551,37558.4,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_median",5,166170,36139.8,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/1/manual_time_stddev",5,5619.6,3266.77,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_mean",5,165042,35959.7,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_median",5,165943,35438.5,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/4/manual_time_stddev",5,2313.7,1116.95,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_mean",5,163706,35474.5,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_median",5,164625,35412.8,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/16/manual_time_stddev",5,2553.35,532.602,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_mean",5,162571,34619.5,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_median",5,162463,34610.3,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/64/manual_time_stddev",5,2844.71,450.584,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_mean",5,160288,35464.4,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_median",5,159842,35228.5,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/256/manual_time_stddev",5,991.157,989.641,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_mean",5,163669,36015.2,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_median",5,164753,35841,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/1024/manual_time_stddev",5,2384.52,1230.36,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_mean",5,167626,37177.3,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_median",5,164921,35356.6,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/4096/manual_time_stddev",5,5264.79,4339.95,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_mean",5,162909,37675.7,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_median",5,162673,37706.6,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/16384/manual_time_stddev",5,1389.87,833.762,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_mean",5,163480,38844.1,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_median",5,163331,38087.5,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/65536/manual_time_stddev",5,1779.26,1255.56,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_mean",5,189416,41826.3,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_median",5,190648,41815.6,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/262144/manual_time_stddev",5,2654.92,1104.55,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_mean",5,282541,51018,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_median",5,283242,50604.1,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/1048576/manual_time_stddev",5,2745.35,2388.32,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_mean",5,630353,70230.7,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_median",5,630616,68565.1,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/4194304/manual_time_stddev",5,7047.46,3102.2,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_mean",5,2.22719e+06,284454,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_median",5,2.22724e+06,281672,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Prim_real/16777216/manual_time_stddev",5,11428.8,11819.2,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/1/manual_time_mean",5,249618,53131.3,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/1/manual_time_median",5,249036,53716.3,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/1/manual_time_stddev",5,4256.19,1280.84,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/4/manual_time_mean",5,249888,52614.5,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/4/manual_time_median",5,250758,52663.2,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/4/manual_time_stddev",5,8090.5,1073.4,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/16/manual_time_mean",5,238645,52758.3,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/16/manual_time_median",5,234998,51851.2,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/16/manual_time_stddev",5,6839.63,1949.39,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/64/manual_time_mean",5,245579,52041.2,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/64/manual_time_median",5,245239,52021.1,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/64/manual_time_stddev",5,5113.79,335.364,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/256/manual_time_mean",5,244623,51323.3,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/256/manual_time_median",5,239424,51287.3,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/256/manual_time_stddev",5,8903.08,409.681,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/1024/manual_time_mean",5,241383,51822.7,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/1024/manual_time_median",5,239369,51375,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/1024/manual_time_stddev",5,9172.62,1339.27,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/4096/manual_time_mean",5,252482,51658.8,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/4096/manual_time_median",5,253225,51796.4,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/4096/manual_time_stddev",5,4977.83,727.788,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/16384/manual_time_mean",5,252955,57317.9,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/16384/manual_time_median",5,250737,58568.8,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/16384/manual_time_stddev",5,9944.77,2454.68,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/65536/manual_time_mean",5,253195,55198.2,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/65536/manual_time_median",5,249826,55453.4,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/65536/manual_time_stddev",5,9867.53,976.283,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/262144/manual_time_mean",5,344366,68044.5,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/262144/manual_time_median",5,343076,66383.2,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/262144/manual_time_stddev",5,4427.33,3756.05,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/1048576/manual_time_mean",5,517584,79723.6,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/1048576/manual_time_median",5,517502,79706.5,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/1048576/manual_time_stddev",5,6360.95,1855.67,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/4194304/manual_time_mean",5,1.2336e+06,138940,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/4194304/manual_time_median",5,1.21939e+06,134255,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/4194304/manual_time_stddev",5,27538.7,15660.8,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/16777216/manual_time_mean",5,4.39325e+06,479005,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/16777216/manual_time_median",5,4.36801e+06,472011,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_vector_Rev_real/16777216/manual_time_stddev",5,70727.1,21673.4,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/1/manual_time_mean",5,450024,117750,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/1/manual_time_median",5,449681,117147,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/1/manual_time_stddev",5,5691.97,2517.83,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/4/manual_time_mean",5,457340,123212,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/4/manual_time_median",5,452043,121956,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/4/manual_time_stddev",5,13314,8083.22,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/16/manual_time_mean",5,457762,120926,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/16/manual_time_median",5,455650,121587,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/16/manual_time_stddev",5,3608.73,1622.15,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/64/manual_time_mean",5,453196,120040,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/64/manual_time_median",5,454798,119982,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/64/manual_time_stddev",5,4882.06,1386.61,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/256/manual_time_mean",5,443394,120387,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/256/manual_time_median",5,444468,120839,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/256/manual_time_stddev",5,2926.3,854.415,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/1024/manual_time_mean",5,461653,129310,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/1024/manual_time_median",5,459716,129394,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/1024/manual_time_stddev",5,6668.64,2702.76,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/4096/manual_time_mean",5,482776,143318,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/4096/manual_time_median",5,483104,143047,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/4096/manual_time_stddev",5,6749.3,2053.59,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/16384/manual_time_mean",5,584352,193464,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/16384/manual_time_median",5,584793,193772,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/16384/manual_time_stddev",5,1034.66,1039.64,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/65536/manual_time_mean",5,997184,447966,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/65536/manual_time_median",5,996864,450468,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/65536/manual_time_stddev",5,3564.97,6570.85,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/262144/manual_time_mean",5,3.52405e+06,1.95785e+06,ns,,,,,
"gumbel_lpdf_Prim_real_Rev_vector_Prim_real/262144/manual_time_median",5,3.53272e+06,1.95931e+06,ns,,,,,
