2021-01-01 14:00:48
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.10, 1.25, 1.38
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_mean",5,163372,36303,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_median",5,162164,35998.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1/manual_time_stddev",5,4157.92,2546.88,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_mean",5,165217,35534.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_median",5,165037,34942.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4/manual_time_stddev",5,2408.16,1052.25,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_mean",5,159998,35037.8,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_median",5,159494,34972.6,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16/manual_time_stddev",5,1176.21,1109.58,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_mean",5,161931,34523.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_median",5,161825,34700.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/64/manual_time_stddev",5,1920.25,547.487,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_mean",5,161013,35504.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_median",5,161078,35332.8,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/256/manual_time_stddev",5,1520.24,1500.42,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_mean",5,162555,35135.1,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_median",5,160721,35448.1,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1024/manual_time_stddev",5,3564.68,746.842,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_mean",5,162779,35858.7,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_median",5,162932,35430.1,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4096/manual_time_stddev",5,874.943,1346.55,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_mean",5,166905,36422.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_median",5,167281,36025,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16384/manual_time_stddev",5,1510.04,1505.69,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_mean",5,165141,38812.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_median",5,165291,38515.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/65536/manual_time_stddev",5,2502.61,2075.2,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_mean",5,187175,39840.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_median",5,187943,39639.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/262144/manual_time_stddev",5,3213.33,595.7,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_mean",5,279523,50349.4,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_median",5,280091,50039.4,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/1048576/manual_time_stddev",5,3902.51,2051.45,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_mean",5,628544,70786.2,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_median",5,623944,68838.7,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/4194304/manual_time_stddev",5,10817.4,3953.84,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_mean",5,2.25147e+06,288221,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_median",5,2.26391e+06,287467,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_real/16777216/manual_time_stddev",5,30196.4,15383.7,ns,,,,,
