2021-01-01 14:15:26
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.27, 1.27, 1.32
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_mean",5,196817,50673.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_median",5,195272,47955,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/1/manual_time_stddev",5,8447.99,5098.12,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_mean",5,195633,48782.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_median",5,193281,48779.9,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/4/manual_time_stddev",5,4963.59,1394.58,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_mean",5,189134,47245.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_median",5,190659,46983.6,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/16/manual_time_stddev",5,3252.82,1200,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_mean",5,192160,50002.1,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_median",5,191398,49523.2,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/64/manual_time_stddev",5,3169.28,1542.57,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_mean",5,193522,46927.1,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_median",5,194284,47026,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/256/manual_time_stddev",5,4927.25,655.284,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_mean",5,195609,47960.6,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_real_Prim_vector/1024/manual_time_median",5,196758,47619.1,ns,,,,,
