name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_mean",5,190005,43703.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_median",5,188182,42548.8,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1/manual_time_stddev",5,6671.57,3118.61,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_mean",5,188899,41836,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_median",5,189941,41520.6,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4/manual_time_stddev",5,3738.2,1341.24,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_mean",5,187109,41134.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_median",5,187266,41111.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16/manual_time_stddev",5,1746.42,1157.95,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_mean",5,189711,41372.6,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_median",5,191252,40893.1,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/64/manual_time_stddev",5,3673.28,822.087,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_mean",5,184988,41705.8,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_median",5,185119,41876.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/256/manual_time_stddev",5,1007.01,825.929,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_mean",5,186174,40504.1,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_median",5,184787,40225.1,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1024/manual_time_stddev",5,3014.01,1034.06,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_mean",5,186882,40852,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_median",5,184936,40846.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4096/manual_time_stddev",5,3451.26,1257.92,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_mean",5,191984,42514,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_median",5,193198,42098.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16384/manual_time_stddev",5,3965.23,990.545,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_mean",5,196708,43759.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_median",5,195699,43929.2,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/65536/manual_time_stddev",5,4462.83,810.721,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_mean",5,217020,48348.9,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_median",5,216589,48047.4,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/262144/manual_time_stddev",5,3846.72,1289.6,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_mean",5,308649,56437,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_median",5,307069,56571.9,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/1048576/manual_time_stddev",5,5044.28,1446.41,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_mean",5,647996,74323.7,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_median",5,646647,73296.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/4194304/manual_time_stddev",5,4936.4,2499.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_mean",5,2.25618e+06,276696,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_median",5,2.26336e+06,274761,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_real/16777216/manual_time_stddev",5,38041.4,18601.1,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/1/manual_time_mean",5,274348,59107,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/1/manual_time_median",5,273433,58873.9,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/1/manual_time_stddev",5,4216.2,2465.28,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/4/manual_time_mean",5,261839,58673.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/4/manual_time_median",5,262856,59509.9,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/4/manual_time_stddev",5,4051.24,1748.59,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/16/manual_time_mean",5,266000,59223.9,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/16/manual_time_median",5,265692,59260,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/16/manual_time_stddev",5,7479.41,782.382,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/64/manual_time_mean",5,261713,58328.8,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/64/manual_time_median",5,261219,58675.2,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/64/manual_time_stddev",5,6269.57,1591.15,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/256/manual_time_mean",5,260934,57803.1,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/256/manual_time_median",5,260748,56797.4,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/256/manual_time_stddev",5,5325.47,1902.31,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/1024/manual_time_mean",5,261846,57914,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/1024/manual_time_median",5,263249,58471.2,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/1024/manual_time_stddev",5,4967.88,1676.54,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/4096/manual_time_mean",5,262390,57028.6,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/4096/manual_time_median",5,262978,56840,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/4096/manual_time_stddev",5,5139.02,888.193,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/16384/manual_time_mean",5,268343,58177.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/16384/manual_time_median",5,270336,58193,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/16384/manual_time_stddev",5,9972.7,335.44,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/65536/manual_time_mean",5,270836,61018.9,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/65536/manual_time_median",5,270456,60328.6,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/65536/manual_time_stddev",5,4603.06,1901.69,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/262144/manual_time_mean",5,378585,75657.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/262144/manual_time_median",5,376684,76108.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/262144/manual_time_stddev",5,5499.98,3532.62,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/1048576/manual_time_mean",5,531866,81428.8,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/1048576/manual_time_median",5,530437,81262.4,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/1048576/manual_time_stddev",5,5444.92,1604.57,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/4194304/manual_time_mean",5,1.29403e+06,154193,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/4194304/manual_time_median",5,1.29679e+06,157232,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/4194304/manual_time_stddev",5,28416.2,12213.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/16777216/manual_time_mean",5,4.5082e+06,491068,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/16777216/manual_time_median",5,4.51e+06,499583,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Rev_real/16777216/manual_time_stddev",5,66427.6,39615.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/1/manual_time_mean",5,482539,125208,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/1/manual_time_median",5,479283,124246,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/1/manual_time_stddev",5,7114.86,2771.69,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/4/manual_time_mean",5,475616,126363,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/4/manual_time_median",5,479978,126267,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/4/manual_time_stddev",5,9275.78,2371.67,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/16/manual_time_mean",5,479727,127707,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/16/manual_time_median",5,478818,127419,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/16/manual_time_stddev",5,6003.76,2083.65,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/64/manual_time_mean",5,484012,125881,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/64/manual_time_median",5,485264,125645,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/64/manual_time_stddev",5,2893.45,824.442,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/256/manual_time_mean",5,476540,128056,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/256/manual_time_median",5,478208,127640,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/256/manual_time_stddev",5,9051.1,2080.22,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/1024/manual_time_mean",5,486751,131630,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/1024/manual_time_median",5,487877,132215,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/1024/manual_time_stddev",5,7497.81,1674.39,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/4096/manual_time_mean",5,513517,150558,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/4096/manual_time_median",5,512006,150967,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/4096/manual_time_stddev",5,5891.21,3240.83,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/16384/manual_time_mean",5,613249,198284,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/16384/manual_time_median",5,614067,196785,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/16384/manual_time_stddev",5,3383.48,4101.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/65536/manual_time_mean",5,1.01426e+06,445058,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/65536/manual_time_median",5,1.00652e+06,440508,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/65536/manual_time_stddev",5,16219.2,14535.6,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/262144/manual_time_mean",5,3.48634e+06,1.92404e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/262144/manual_time_median",5,3.45957e+06,1.93428e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/262144/manual_time_stddev",5,117664,54004.7,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/1048576/manual_time_mean",5,1.33525e+07,1.07888e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/1048576/manual_time_median",5,1.33739e+07,1.08428e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/1048576/manual_time_stddev",5,146136,121450,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/4194304/manual_time_mean",5,5.11287e+07,4.18447e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/4194304/manual_time_median",5,5.10437e+07,4.1669e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/4194304/manual_time_stddev",5,559802,520265,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/16777216/manual_time_mean",5,1.69782e+08,1.49805e+08,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/16777216/manual_time_median",5,1.69296e+08,1.49836e+08,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Prim_real/16777216/manual_time_stddev",5,795593,756448,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/1/manual_time_mean",5,604345,153256,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/1/manual_time_median",5,607866,150427,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/1/manual_time_stddev",5,12480.4,5334.79,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/4/manual_time_mean",5,603038,152815,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/4/manual_time_median",5,610037,151715,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/4/manual_time_stddev",5,14722.5,6497.03,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/16/manual_time_mean",5,596307,147028,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/16/manual_time_median",5,598518,148217,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/16/manual_time_stddev",5,4050.78,3698.03,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/64/manual_time_mean",5,586960,147167,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/64/manual_time_median",5,587642,147654,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/64/manual_time_stddev",5,5672.66,1774.2,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/256/manual_time_mean",5,593186,149146,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/256/manual_time_median",5,594779,148806,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/256/manual_time_stddev",5,7039.65,2152.78,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/1024/manual_time_mean",5,594576,158542,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/1024/manual_time_median",5,594551,159757,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/1024/manual_time_stddev",5,7586.87,3037.76,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/4096/manual_time_mean",5,620864,173629,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/4096/manual_time_median",5,619607,172490,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/4096/manual_time_stddev",5,13136.2,3304.7,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/16384/manual_time_mean",5,723424,229550,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/16384/manual_time_median",5,726951,229403,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/16384/manual_time_stddev",5,12829.4,4073.2,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/65536/manual_time_mean",5,1.10567e+06,449154,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/65536/manual_time_median",5,1.10897e+06,456298,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/65536/manual_time_stddev",5,23696.4,24905.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/262144/manual_time_mean",5,3.76425e+06,2.02905e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/262144/manual_time_median",5,3.72631e+06,1.99743e+06,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/262144/manual_time_stddev",5,113085,54097.9,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/1048576/manual_time_mean",5,1.39201e+07,1.12028e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/1048576/manual_time_median",5,1.39554e+07,1.12177e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/1048576/manual_time_stddev",5,123571,105718,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/4194304/manual_time_mean",5,5.15013e+07,4.18145e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/4194304/manual_time_median",5,5.17863e+07,4.19963e+07,ns,,,,,
"gumbel_lpdf_Prim_vector_Rev_vector_Rev_real/4194304/manual_time_stddev",5,547247,412893,ns,,,,,
