name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_mean",5,224918,52979.1,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_median",5,228132,50840,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/1/manual_time_stddev",5,7661.06,4075.72,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_mean",5,215580,50755.6,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_median",5,215715,50453.7,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/4/manual_time_stddev",5,1964.28,994.274,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_mean",5,220733,51782.7,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_median",5,220046,51673.8,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/16/manual_time_stddev",5,4698.98,1174.66,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_mean",5,216759,50863.1,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_median",5,216290,50862.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/64/manual_time_stddev",5,1783.31,591.349,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_mean",5,218898,52173.6,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_median",5,221427,51412.3,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/256/manual_time_stddev",5,5762.19,2758.73,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_mean",5,219914,51307.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_median",5,219890,51080.7,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/1024/manual_time_stddev",5,4844.15,1105.57,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_mean",5,218809,50813.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_median",5,217842,50442.8,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/4096/manual_time_stddev",5,4431.57,881.511,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_mean",5,225578,51708.8,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_median",5,226228,51329.8,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/16384/manual_time_stddev",5,4399.71,707.717,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_mean",5,238754,54982.1,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_median",5,238981,54313.6,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/65536/manual_time_stddev",5,5176.98,1812.28,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_mean",5,270186,57503.9,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_median",5,270405,57742.4,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/262144/manual_time_stddev",5,1985.91,818.147,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_mean",5,409701,66605.5,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_median",5,410556,67528.2,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,8131.24,2150.18,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_mean",5,1.06003e+06,132927,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_median",5,1.06024e+06,131037,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/4194304/manual_time_stddev",5,9878.36,16405.7,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/16777216/manual_time_mean",5,3.80917e+06,425739,ns,,,,,
"gumbel_lpdf_Prim_vector_Prim_vector_Prim_vector/16777216/manual_time_median",5,3.81051e+06,418037,ns,,,,,
