name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"inv_chi_square_lpdf_Prim_vector_Prim_real/1/manual_time_mean",5,191646,44605.9,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/1/manual_time_median",5,189010,44066.1,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/1/manual_time_stddev",5,4894.66,2806.46,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/4/manual_time_mean",5,186303,44560.3,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/4/manual_time_median",5,186563,44883.1,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/4/manual_time_stddev",5,847.135,779.342,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/16/manual_time_mean",5,185266,43260.7,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/16/manual_time_median",5,185274,42599.8,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/16/manual_time_stddev",5,938.675,1146.89,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/64/manual_time_mean",5,187147,42723.4,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/64/manual_time_median",5,186065,42458.2,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/64/manual_time_stddev",5,2713.37,1298.66,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/256/manual_time_mean",5,187107,42678.7,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/256/manual_time_median",5,187263,42986.2,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/256/manual_time_stddev",5,1506.78,866.401,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/1024/manual_time_mean",5,189955,44055.7,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/1024/manual_time_median",5,188966,43907.3,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/1024/manual_time_stddev",5,4156,852.99,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/4096/manual_time_mean",5,193282,44960.9,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/4096/manual_time_median",5,192337,43828.9,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/4096/manual_time_stddev",5,4990.76,2840.02,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/16384/manual_time_mean",5,187042,45346.7,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_real/16384/manual_time_median",5,186616,45296.1,ns,,,,,
