name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"inv_chi_square_lpdf_Prim_vector_Prim_vector/1/manual_time_mean",5,238409,56105.6,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/1/manual_time_median",5,238577,54879.9,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/1/manual_time_stddev",5,8678.96,4679.88,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/4/manual_time_mean",5,232139,54758.7,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/4/manual_time_median",5,233309,53711.2,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/4/manual_time_stddev",5,2445.39,2118.31,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/16/manual_time_mean",5,230930,55316.7,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/16/manual_time_median",5,229624,54370.2,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/16/manual_time_stddev",5,2177.98,1827.92,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/64/manual_time_mean",5,235324,53885.9,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/64/manual_time_median",5,238003,53500.9,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/64/manual_time_stddev",5,5744.28,1486.13,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/256/manual_time_mean",5,233825,53822.3,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/256/manual_time_median",5,235306,54112.9,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/256/manual_time_stddev",5,4357.7,905.969,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/1024/manual_time_mean",5,226403,52800.9,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/1024/manual_time_median",5,226816,52601,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/1024/manual_time_stddev",5,2409.34,1064.73,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/4096/manual_time_mean",5,232453,54899.7,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/4096/manual_time_median",5,232251,54970,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/4096/manual_time_stddev",5,4350.21,1851.88,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/16384/manual_time_mean",5,231755,54912,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/16384/manual_time_median",5,233116,55699.5,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/16384/manual_time_stddev",5,4613.28,1411.66,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/65536/manual_time_mean",5,241558,56432.2,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/65536/manual_time_median",5,241666,56754.5,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/65536/manual_time_stddev",5,597.512,825.277,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/262144/manual_time_mean",5,311443,64611.5,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/262144/manual_time_median",5,308601,64480.1,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/262144/manual_time_stddev",5,6052.32,1832.85,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/1048576/manual_time_mean",5,536123,78690.9,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/1048576/manual_time_median",5,534842,77235.8,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/1048576/manual_time_stddev",5,3792.61,2981.44,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/4194304/manual_time_mean",5,1.68193e+06,225742,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/4194304/manual_time_median",5,1.67391e+06,225114,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/4194304/manual_time_stddev",5,21476.5,10544.9,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/16777216/manual_time_mean",5,6.23785e+06,730052,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/16777216/manual_time_median",5,6.28984e+06,739751,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Prim_vector/16777216/manual_time_stddev",5,133824,29605.1,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Rev_vector/1/manual_time_mean",5,495920,133607,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Rev_vector/1/manual_time_median",5,496010,133903,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Rev_vector/1/manual_time_stddev",5,4602.63,1363.73,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Rev_vector/4/manual_time_mean",5,485268,135817,ns,,,,,
"inv_chi_square_lpdf_Prim_vector_Rev_vector/4/manual_time_median",5,485030,134864,ns,,,,,
