name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,228785,50101.9,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,227275,48685.4,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,10041.2,3291.73,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,222588,48832.2,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,222999,48211.4,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,3170.34,1334.48,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,225285,52205.1,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,221518,49223.2,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,10779.2,7124.09,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,228201,49305,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,226517,49214.5,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,8778.77,2002.83,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,223605,48972.1,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,222322,47826.8,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,4209.66,3495.48,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,228266,48881.5,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,231084,48124.7,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,5571.37,2208.65,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,223962,47563.5,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,225555,47110.1,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,5862.04,1498.76,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,225030,49710.1,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,223146,49513.8,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,3369.39,572.748,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,230106,51227.2,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,229519,50728.6,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,3022.21,1549.11,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,299769,60010.4,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,298968,60361.3,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,8324,1258.15,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,497330,73673.7,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,502926,72003.6,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,8336.81,3744.74,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,1.29955e+06,156919,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,1.29701e+06,155024,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,23690,7824.96,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,4.69721e+06,547282,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,4.68049e+06,545628,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,54777.3,38844.2,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_mean",5,485277,127075,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_median",5,481845,127038,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_stddev",5,7842.68,2521.91,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_mean",5,483563,125303,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_median",5,481124,126511,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_stddev",5,6405.75,2968.18,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_mean",5,484201,129509,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_median",5,477033,126743,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_stddev",5,14444.4,6496.61,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_mean",5,487815,126874,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_median",5,487780,126483,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_stddev",5,6327.35,1751.69,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_mean",5,470806,128536,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_median",5,465792,126863,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_stddev",5,11609.9,3745.16,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_mean",5,493203,134373,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_median",5,497395,134259,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_stddev",5,9087.26,3029.08,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_mean",5,517858,148273,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_median",5,520835,148654,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_stddev",5,5501.66,2597.97,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_mean",5,618440,200901,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_median",5,615102,200949,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_stddev",5,8331.34,2819.84,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_mean",5,1.06938e+06,470031,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_median",5,1.06366e+06,466156,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_stddev",5,25294.9,16775.1,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_mean",5,3.62479e+06,1.95975e+06,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_median",5,3.62808e+06,1.95443e+06,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_stddev",5,32834.5,42092.9,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_mean",5,1.38191e+07,1.11351e+07,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_median",5,1.38632e+07,1.11849e+07,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_stddev",5,323148,253370,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_mean",5,5.13198e+07,4.1532e+07,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_median",5,5.12176e+07,4.12945e+07,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_stddev",5,537321,540013,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_mean",5,1.737e+08,1.50108e+08,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_median",5,1.73932e+08,1.50064e+08,ns,,,,,
"inv_gamma_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_stddev",5,1.24199e+06,715154,ns,,,,,
