name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,173445,46223.7,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,169272,44277.7,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,8681.73,3583.41,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,173990,45187.8,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,174416,45283.3,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,2741.8,1680.33,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,168484,43996.5,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,168308,43946.9,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,1182.7,371.883,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,169826,44492.6,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,169206,44435.9,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,1688.11,535.296,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,170098,44173.4,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,170327,43843,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,2517.2,1437.68,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,167695,43692.4,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,168123,43740.6,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,1150.46,631.469,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,166854,43943.9,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,166194,43807,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,2059.83,917.013,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,174698,45557.4,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,175540,45587.6,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,4514.63,446.871,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,180791,46348.1,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,178985,46494.3,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,3498.15,354.854,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,234694,50698.6,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,235387,51116.6,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,3846.55,1806.01,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,416462,61166.7,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,415343,60362.2,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,2688.24,2993.23,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,1.24494e+06,141078,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,1.22901e+06,125374,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,28871.5,28737.1,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,4.1531e+06,397992,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,4.39948e+06,421834,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,510522,62177.1,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_mean",5,433086,125327,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_median",5,432084,125318,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_stddev",5,5158.41,3979.46,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_mean",5,434649,124636,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_median",5,435559,123766,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_stddev",5,4814.15,3439,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_mean",5,431181,127354,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_median",5,429677,126424,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_stddev",5,5450.57,2495.68,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_mean",5,429643,122955,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_median",5,426963,121478,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_stddev",5,10154.8,4310.35,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_mean",5,421241,123973,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_median",5,420674,122799,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_stddev",5,8082.23,2623.74,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_mean",5,437889,129380,ns,,,,,
"logistic_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_median",5,436963,129350,ns,,,,,
