2021-01-01 20:13:05
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.63, 1.52, 1.42
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,193403,50526.6,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,188635,48315.4,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,8764.02,3363.31,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,188467,46599,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,186228,46786.4,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,3804.94,544.889,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,185749,46287.5,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,185433,46508,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,1686.59,750.812,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,197590,50342,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,195667,46661.8,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,6375.39,7264.06,ns,,,,,
"lognormal_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,189466,47074.5,ns,,,,,
