2021-01-03 08:35:53
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.41, 1.24, 1.13
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_real/1/manual_time_mean",5,100.353,123.863,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_real/1/manual_time_median",5,98.6244,121.857,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_real/1/manual_time_stddev",5,4.71387,5.49997,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Rev_real/1/manual_time_mean",5,128.571,152.961,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Rev_real/1/manual_time_median",5,128.478,152.773,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Rev_real/1/manual_time_stddev",5,0.562297,0.639224,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Rev_real_Prim_real/1/manual_time_mean",5,107.045,131.452,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Rev_real_Prim_real/1/manual_time_median",5,107.053,131.451,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Rev_real_Prim_real/1/manual_time_stddev",5,0.0925032,0.105932,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Rev_real_Rev_real/1/manual_time_mean",5,131.232,156.915,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Rev_real_Rev_real/1/manual_time_median",5,131.076,156.782,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Rev_real_Rev_real/1/manual_time_stddev",5,0.364723,0.414946,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/1/manual_time_mean",5,210054,54018.2,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/1/manual_time_median",5,207602,52935.6,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/1/manual_time_stddev",5,5819.31,3742.32,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/4/manual_time_mean",5,206537,51351.7,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/4/manual_time_median",5,205174,51872.5,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/4/manual_time_stddev",5,2624.47,1967.4,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/16/manual_time_mean",5,206367,50786.9,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/16/manual_time_median",5,206624,50131,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/16/manual_time_stddev",5,2580,1417.05,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/64/manual_time_mean",5,206388,51806.9,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/64/manual_time_median",5,206302,52069.5,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/64/manual_time_stddev",5,3675.55,1420.32,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/256/manual_time_mean",5,208534,52786.5,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/256/manual_time_median",5,208500,51863.9,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/256/manual_time_stddev",5,4325.34,1960.56,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/1024/manual_time_mean",5,206592,53580.7,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/1024/manual_time_median",5,203315,50789.1,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/1024/manual_time_stddev",5,7377.3,5307.29,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/4096/manual_time_mean",5,209279,53122.7,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/4096/manual_time_median",5,207435,52524.8,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/4096/manual_time_stddev",5,5745.46,1396.11,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/16384/manual_time_mean",5,213952,54969,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/16384/manual_time_median",5,214671,54316.5,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/16384/manual_time_stddev",5,3771.3,2682.4,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/65536/manual_time_mean",5,234725,53908.1,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/65536/manual_time_median",5,234306,52851,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/65536/manual_time_stddev",5,2252.53,2389.22,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/262144/manual_time_mean",5,350042,58193.6,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/262144/manual_time_median",5,351051,58458,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/262144/manual_time_stddev",5,5237.71,3226.44,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/1048576/manual_time_mean",5,870482,132786,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/1048576/manual_time_median",5,885593,134123,ns,,,,,
"neg_binomial_2_log_lpmf_Prim_int_Prim_real_Prim_vector/1048576/manual_time_stddev",5,24763.8,12684.4,ns,,,,,
