name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/1/manual_time_mean",5,191000,41816.8,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/1/manual_time_median",5,190631,43043.3,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/1/manual_time_stddev",5,9017.6,3668.12,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/4/manual_time_mean",5,191102,44282.5,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/4/manual_time_median",5,189962,43920.3,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/4/manual_time_stddev",5,3711.08,2048.37,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/16/manual_time_mean",5,189565,40179.9,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/16/manual_time_median",5,186997,39338.2,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/16/manual_time_stddev",5,5951.26,3291.11,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/64/manual_time_mean",5,193867,42751.3,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/64/manual_time_median",5,194594,42529.5,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/64/manual_time_stddev",5,6315,2937.59,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/256/manual_time_mean",5,189522,42539.1,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/256/manual_time_median",5,190605,42662.9,ns,,,,,
"neg_binomial_2_lpmf_Prim_int1_Prim_real_Prim_real/256/manual_time_stddev",5,3462.96,1934.46,ns,,,,,
