name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/1/manual_time_mean",5,191737,43201.4,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/1/manual_time_median",5,189551,41217.9,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/1/manual_time_stddev",5,10206.8,5262.3,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/4/manual_time_mean",5,184812,40229.7,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/4/manual_time_median",5,182432,39523.6,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/4/manual_time_stddev",5,3721.14,1935.78,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/16/manual_time_mean",5,186289,39938.2,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/16/manual_time_median",5,186955,39375.6,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/16/manual_time_stddev",5,2985.19,2056.56,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/64/manual_time_mean",5,188784,41849.1,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/64/manual_time_median",5,190914,41269.6,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/64/manual_time_stddev",5,4447.25,2433.97,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/256/manual_time_mean",5,184887,39272,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/256/manual_time_median",5,187543,38959.2,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/256/manual_time_stddev",5,5760.93,2310.91,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/1024/manual_time_mean",5,181588,39670.4,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/1024/manual_time_median",5,180290,39239.8,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/1024/manual_time_stddev",5,4343.91,2338.45,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/4096/manual_time_mean",5,185677,40431.3,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/4096/manual_time_median",5,186701,41486.1,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/4096/manual_time_stddev",5,3596.81,2380.5,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/16384/manual_time_mean",5,188175,40673.5,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/16384/manual_time_median",5,188401,41046.1,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/16384/manual_time_stddev",5,1834.48,1804.82,ns,,,,,
"neg_binomial_lpmf_Prim_int1_Prim_real_Prim_real/65536/manual_time_mean",5,203915,41927.6,ns,,,,,
