name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"normal_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,163430,36810.8,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,164729,36808.6,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,4498.42,1332.22,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,163644,35031.8,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,164388,34968.7,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,2016.33,280.725,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,161902,36966.3,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,161031,37141.5,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,1463.25,630.923,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,161737,35445.4,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,160798,35141.5,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,2329.04,825.219,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,160058,35259.6,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,159957,34811.6,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,1740.7,1266.05,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,161043,36589.6,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,160510,36569.1,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,1461.21,1823.09,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,160116,36256.7,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,159575,35362.5,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,1812.86,1998.44,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,165380,38242.2,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,163991,37932,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,4156.38,1095.73,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,166809,37375.6,ns,,,,,
"normal_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,167118,37409.4,ns,,,,,
