name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,195475,48946.9,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,195259,46746.9,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,9389.07,4880,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,193702,46089,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,195811,45495.3,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,3548.79,954.061,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,184934,45703,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,184028,45450.9,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,1408.06,762.643,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,186495,46547.2,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,186253,46844.5,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,3104.13,1839.87,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,184604,45530.7,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,184864,45592.8,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,616.891,219.189,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,191805,49125.8,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,185801,45574.1,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,11131,7717.67,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,189537,45653.6,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,188355,45267.5,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,3578.14,1269.18,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,187180,47687.9,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,185848,47807.8,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,3001.49,895.799,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,197425,48973.4,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,197495,49394.7,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,1037.41,978.213,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,239001,57198.3,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,239155,57564.5,ns,,,,,
"pareto_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,4037.53,1014.06,ns,,,,,
