name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,164368,37700.6,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,160813,35829.7,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,5428.78,3051.12,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,161082,35520,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,161089,35466.6,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,385.601,412.436,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,159665,35812.9,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,159467,36225.9,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,469.777,828.941,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,162354,35796.4,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,160399,35471.1,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,3482.25,698.617,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,161877,35827.6,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,161460,35503.2,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,2364.2,761.51,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,161345,36673.5,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,160783,36926.5,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,1599.06,1137.17,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,159973,36425.3,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,159543,36615.8,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,1304.29,810.486,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,162866,38572.5,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,162368,38551.4,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,2330.42,1252.06,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,169904,41224,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,167305,37597.8,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,6109.73,6260.32,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,196795,43197.5,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,196390,42621.8,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,2143.54,1892.8,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,296734,52097.1,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,296534,52332.1,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,1023.05,667.337,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,710757,86726,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,720183,86280.7,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,16684.7,7381.41,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,2.48852e+06,300161,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,2.49879e+06,313824,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,43622.3,39970.9,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1/manual_time_mean",5,456253,121973,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1/manual_time_median",5,454516,120168,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1/manual_time_stddev",5,8356.8,6117.97,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4/manual_time_mean",5,459228,124801,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4/manual_time_median",5,459932,124543,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4/manual_time_stddev",5,5112.37,4685.97,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/16/manual_time_mean",5,448710,120826,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/16/manual_time_median",5,447554,119564,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/16/manual_time_stddev",5,4614.97,3392.84,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/64/manual_time_mean",5,458201,121408,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/64/manual_time_median",5,457915,121079,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/64/manual_time_stddev",5,7937.56,2553.75,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/256/manual_time_mean",5,455292,124466,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/256/manual_time_median",5,454042,125715,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/256/manual_time_stddev",5,8968.18,4731.65,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1024/manual_time_mean",5,464847,132972,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1024/manual_time_median",5,464661,133564,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1024/manual_time_stddev",5,2672.78,3574.02,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4096/manual_time_mean",5,499707,150340,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4096/manual_time_median",5,501227,148193,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4096/manual_time_stddev",5,3387.54,3937.87,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/16384/manual_time_mean",5,582935,194223,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/16384/manual_time_median",5,581110,195290,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/16384/manual_time_stddev",5,5843.86,3231.75,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/65536/manual_time_mean",5,1.01902e+06,461548,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/65536/manual_time_median",5,1.01221e+06,464908,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/65536/manual_time_stddev",5,19771.2,11815.6,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/262144/manual_time_mean",5,3.46006e+06,1.9492e+06,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/262144/manual_time_median",5,3.41846e+06,1.94548e+06,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/262144/manual_time_stddev",5,78422.3,39673.9,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1048576/manual_time_mean",5,1.33819e+07,1.0784e+07,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1048576/manual_time_median",5,1.33633e+07,1.07502e+07,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1048576/manual_time_stddev",5,106015,87242.1,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4194304/manual_time_mean",5,5.20784e+07,4.21924e+07,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4194304/manual_time_median",5,5.20941e+07,4.22598e+07,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4194304/manual_time_stddev",5,812034,546930,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/16777216/manual_time_mean",5,1.75679e+08,1.52529e+08,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/16777216/manual_time_median",5,1.75737e+08,1.5291e+08,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/16777216/manual_time_stddev",5,2.20219e+06,891298,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Rev_real_Prim_vector/1/manual_time_mean",5,244158,53086.8,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Rev_real_Prim_vector/1/manual_time_median",5,243274,52858.1,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Rev_real_Prim_vector/1/manual_time_stddev",5,8591.07,864.572,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Rev_real_Prim_vector/4/manual_time_mean",5,243824,52629.8,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Rev_real_Prim_vector/4/manual_time_median",5,245638,52101.1,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Rev_real_Prim_vector/4/manual_time_stddev",5,5064.12,1163.24,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Rev_real_Prim_vector/16/manual_time_mean",5,246215,53080.8,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Rev_real_Prim_vector/16/manual_time_median",5,245562,52867,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Rev_real_Prim_vector/16/manual_time_stddev",5,5913.89,1394.91,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Rev_real_Prim_vector/64/manual_time_mean",5,242094,53712.7,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Rev_real_Prim_vector/64/manual_time_median",5,244647,52370.3,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Rev_real_Prim_vector/64/manual_time_stddev",5,6034.96,2627.31,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Rev_real_Prim_vector/256/manual_time_mean",5,238060,51561.8,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Rev_real_Prim_vector/256/manual_time_median",5,237972,51562.2,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Rev_real_Prim_vector/256/manual_time_stddev",5,3425.36,124.33,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Rev_real_Prim_vector/1024/manual_time_mean",5,233743,51922.1,ns,,,,,
"pareto_type_2_lpdf_Prim_real_Prim_real_Rev_real_Prim_vector/1024/manual_time_median",5,234181,51860.6,ns,,,,,
