name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"poisson_log_lpmf_Prim_int1_Prim_real/1/manual_time_mean",5,196438,44109.8,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/1/manual_time_median",5,192464,42890.5,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/1/manual_time_stddev",5,7903.72,2872.3,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/4/manual_time_mean",5,191053,40090,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/4/manual_time_median",5,191838,39760.4,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/4/manual_time_stddev",5,4816.33,555.182,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/16/manual_time_mean",5,186452,39563.2,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/16/manual_time_median",5,185173,39733,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/16/manual_time_stddev",5,4573.29,845.983,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/64/manual_time_mean",5,187538,41050.3,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/64/manual_time_median",5,187117,41197.3,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/64/manual_time_stddev",5,883.982,1354.9,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/256/manual_time_mean",5,189126,40040.3,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/256/manual_time_median",5,188099,38813.5,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/256/manual_time_stddev",5,5211.98,1920.84,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/1024/manual_time_mean",5,187618,40192.3,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/1024/manual_time_median",5,188979,40529.2,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/1024/manual_time_stddev",5,2546.87,695.848,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/4096/manual_time_mean",5,187283,40082.3,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/4096/manual_time_median",5,184428,40316,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/4096/manual_time_stddev",5,4569.64,558.558,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/16384/manual_time_mean",5,187322,42399.5,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/16384/manual_time_median",5,188469,42647,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/16384/manual_time_stddev",5,2576.02,1640.46,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/65536/manual_time_mean",5,203135,44831.2,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/65536/manual_time_median",5,205764,44206,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/65536/manual_time_stddev",5,4336.68,1176.56,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/262144/manual_time_mean",5,258668,54980.9,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/262144/manual_time_median",5,255812,52084.5,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/262144/manual_time_stddev",5,5653.88,7101.39,ns,,,,,
"poisson_log_lpmf_Prim_int1_Prim_real/1048576/manual_time_mean",5,429180,68204.2,ns,,,,,
