name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"poisson_lpmf_Prim_int_Prim_vector/1/manual_time_mean",5,189236,42235.6,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/1/manual_time_median",5,186644,40844.6,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/1/manual_time_stddev",5,6229.36,3158.31,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4/manual_time_mean",5,189449,40794.4,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4/manual_time_median",5,188778,39670.3,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4/manual_time_stddev",5,5048.86,2494.83,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/16/manual_time_mean",5,187699,41951.7,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/16/manual_time_median",5,188221,41800.1,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/16/manual_time_stddev",5,1825.87,826.747,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/64/manual_time_mean",5,189066,40892.6,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/64/manual_time_median",5,185346,40552.5,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/64/manual_time_stddev",5,5960.94,2619.39,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/256/manual_time_mean",5,188352,41676.3,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/256/manual_time_median",5,188025,41768.4,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/256/manual_time_stddev",5,4005.84,1794.82,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/1024/manual_time_mean",5,187866,41493.9,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/1024/manual_time_median",5,188439,41643.1,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/1024/manual_time_stddev",5,2556.46,1339.03,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4096/manual_time_mean",5,191766,41701.7,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4096/manual_time_median",5,191435,41685.9,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4096/manual_time_stddev",5,4396.92,1464.61,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/16384/manual_time_mean",5,189500,41810.8,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/16384/manual_time_median",5,185876,40104.1,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/16384/manual_time_stddev",5,6859.72,3491.77,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/65536/manual_time_mean",5,195850,43280.7,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/65536/manual_time_median",5,194186,43382.7,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/65536/manual_time_stddev",5,3660.14,2831.31,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/262144/manual_time_mean",5,235228,52584.1,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/262144/manual_time_median",5,237824,52244.3,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/262144/manual_time_stddev",5,4938.1,2174.93,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/1048576/manual_time_mean",5,367634,67454.8,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/1048576/manual_time_median",5,365287,68120.7,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/1048576/manual_time_stddev",5,9609.74,2081.56,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4194304/manual_time_mean",5,891624,117349,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4194304/manual_time_median",5,880099,116511,ns,,,,,
"poisson_lpmf_Prim_int_Prim_vector/4194304/manual_time_stddev",5,24289.3,7681.41,ns,,,,,
