2021-01-02 10:25:27
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.04, 1.25, 1.27
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"rayleigh_lpdf_Prim_real_Prim_vector/1/manual_time_mean",5,166834,36623.5,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/1/manual_time_median",5,165698,35914.3,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/1/manual_time_stddev",5,6335.9,2573.69,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4/manual_time_mean",5,159952,34189.9,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4/manual_time_median",5,159725,33789.8,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4/manual_time_stddev",5,505.323,1092.49,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16/manual_time_mean",5,160606,33517.9,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16/manual_time_median",5,159977,33121.9,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16/manual_time_stddev",5,1512.99,937.199,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/64/manual_time_mean",5,163062,32618.3,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/64/manual_time_median",5,163380,32868.5,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/64/manual_time_stddev",5,2035.85,529.749,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/256/manual_time_mean",5,159820,34038.8,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/256/manual_time_median",5,159848,33943.2,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/256/manual_time_stddev",5,270.376,1258.3,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/1024/manual_time_mean",5,162463,32925.4,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/1024/manual_time_median",5,162797,32905.8,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/1024/manual_time_stddev",5,3179.07,366.766,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4096/manual_time_mean",5,161236,33750.3,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4096/manual_time_median",5,161390,33339.9,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4096/manual_time_stddev",5,1600.17,1259.42,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16384/manual_time_mean",5,162388,35312.9,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16384/manual_time_median",5,162431,35222.8,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16384/manual_time_stddev",5,936.897,1306.43,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/65536/manual_time_mean",5,163079,35730,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/65536/manual_time_median",5,163930,35729.9,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/65536/manual_time_stddev",5,1816.62,1672.36,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/262144/manual_time_mean",5,195063,41480,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/262144/manual_time_median",5,195865,41623.2,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/262144/manual_time_stddev",5,3147.54,1785.88,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/1048576/manual_time_mean",5,311742,48658.6,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/1048576/manual_time_median",5,310925,49045.6,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/1048576/manual_time_stddev",5,2124.82,2070.36,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4194304/manual_time_mean",5,807117,105788,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4194304/manual_time_median",5,808429,106157,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/4194304/manual_time_stddev",5,4190.21,2732.83,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16777216/manual_time_mean",5,2.83234e+06,299395,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16777216/manual_time_median",5,2.83165e+06,297957,ns,,,,,
"rayleigh_lpdf_Prim_real_Prim_vector/16777216/manual_time_stddev",5,20830,20199.9,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1/manual_time_mean",5,416713,110520,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1/manual_time_median",5,417777,110440,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1/manual_time_stddev",5,6794.68,2601.06,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/4/manual_time_mean",5,414090,112490,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/4/manual_time_median",5,411453,112276,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/4/manual_time_stddev",5,6939.86,2817.76,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/16/manual_time_mean",5,414723,112702,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/16/manual_time_median",5,411768,113210,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/16/manual_time_stddev",5,7554.01,2337.78,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/64/manual_time_mean",5,419661,111378,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/64/manual_time_median",5,418266,111615,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/64/manual_time_stddev",5,7328,777.398,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/256/manual_time_mean",5,411906,112455,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/256/manual_time_median",5,412908,112811,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/256/manual_time_stddev",5,4106.17,1460.14,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1024/manual_time_mean",5,424371,120075,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1024/manual_time_median",5,422745,118179,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1024/manual_time_stddev",5,8417.22,3706.81,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/4096/manual_time_mean",5,444392,132758,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/4096/manual_time_median",5,444361,133122,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/4096/manual_time_stddev",5,1597.67,1009.69,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/16384/manual_time_mean",5,541471,180813,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/16384/manual_time_median",5,539515,180573,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/16384/manual_time_stddev",5,5769.1,1679.24,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/65536/manual_time_mean",5,987659,451825,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/65536/manual_time_median",5,989826,451783,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/65536/manual_time_stddev",5,10370.3,3888.9,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/262144/manual_time_mean",5,3.48262e+06,1.96576e+06,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/262144/manual_time_median",5,3.44526e+06,1.95694e+06,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/262144/manual_time_stddev",5,61211.7,18609.7,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1048576/manual_time_mean",5,1.37325e+07,1.10904e+07,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1048576/manual_time_median",5,1.38331e+07,1.11489e+07,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/1048576/manual_time_stddev",5,152977,109999,ns,,,,,
"rayleigh_lpdf_Prim_real_Rev_vector/4194304/manual_time_mean",5,5.37252e+07,4.37252e+07,ns,,,,,
