name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,199311,52892,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,197712,51584.9,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,6302.27,4711.47,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,190408,48683.5,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,190484,48427.6,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,2577.36,1239.27,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,191121,49989.8,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,191576,49885.4,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,3778.65,2650.76,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,192289,50414.1,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,190632,49078.6,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,4651.14,3094.54,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,189727,48675.7,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,189310,48771.2,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,2487.98,478.621,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,189582,48318.8,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,189934,48049.8,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,1898.78,993.042,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,188573,48354.8,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,188318,47717.8,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,2188.35,1349.54,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,190974,48349.1,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,190928,48347.5,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,3830.59,1366.08,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,202976,52198.8,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,203489,52287.4,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,2033.4,1065.97,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,241509,57918.4,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,239403,57034.1,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,6845.83,1552.37,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,376455,71557.4,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,374054,71600.8,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,6332.84,517.448,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,897405,128057,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,892824,127030,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,13354.8,5310.09,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,3.40278e+06,509976,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,3.41518e+06,508008,ns,,,,,
"scaled_inv_chi_square_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,30654.1,26975.4,ns,,,,,
