2021-01-02 12:06:04
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.08, 1.26, 1.25
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"std_normal_lpdf_Prim_vector/1/manual_time_mean",5,163486,26890,ns,,,,,
"std_normal_lpdf_Prim_vector/1/manual_time_median",5,162339,26404.8,ns,,,,,
"std_normal_lpdf_Prim_vector/1/manual_time_stddev",5,4226.93,1810.03,ns,,,,,
"std_normal_lpdf_Prim_vector/4/manual_time_mean",5,159515,24691.7,ns,,,,,
"std_normal_lpdf_Prim_vector/4/manual_time_median",5,159271,24659.8,ns,,,,,
"std_normal_lpdf_Prim_vector/4/manual_time_stddev",5,1039.2,191.094,ns,,,,,
"std_normal_lpdf_Prim_vector/16/manual_time_mean",5,159956,25791.8,ns,,,,,
"std_normal_lpdf_Prim_vector/16/manual_time_median",5,160339,25571.4,ns,,,,,
"std_normal_lpdf_Prim_vector/16/manual_time_stddev",5,789.292,933.468,ns,,,,,
"std_normal_lpdf_Prim_vector/64/manual_time_mean",5,160083,25426.8,ns,,,,,
"std_normal_lpdf_Prim_vector/64/manual_time_median",5,159368,25409.1,ns,,,,,
"std_normal_lpdf_Prim_vector/64/manual_time_stddev",5,1751.92,372.714,ns,,,,,
"std_normal_lpdf_Prim_vector/256/manual_time_mean",5,160852,24878.9,ns,,,,,
"std_normal_lpdf_Prim_vector/256/manual_time_median",5,160648,24762.6,ns,,,,,
"std_normal_lpdf_Prim_vector/256/manual_time_stddev",5,1568.48,584.253,ns,,,,,
"std_normal_lpdf_Prim_vector/1024/manual_time_mean",5,160962,25475.5,ns,,,,,
"std_normal_lpdf_Prim_vector/1024/manual_time_median",5,160876,25172.9,ns,,,,,
"std_normal_lpdf_Prim_vector/1024/manual_time_stddev",5,1362.77,615.161,ns,,,,,
"std_normal_lpdf_Prim_vector/4096/manual_time_mean",5,160740,25302.9,ns,,,,,
"std_normal_lpdf_Prim_vector/4096/manual_time_median",5,160677,25136.3,ns,,,,,
"std_normal_lpdf_Prim_vector/4096/manual_time_stddev",5,500.238,800.774,ns,,,,,
"std_normal_lpdf_Prim_vector/16384/manual_time_mean",5,161157,26116.3,ns,,,,,
"std_normal_lpdf_Prim_vector/16384/manual_time_median",5,161506,25553.2,ns,,,,,
"std_normal_lpdf_Prim_vector/16384/manual_time_stddev",5,1652.26,1518.15,ns,,,,,
"std_normal_lpdf_Prim_vector/65536/manual_time_mean",5,160864,25265.6,ns,,,,,
