name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,181345,52652.7,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,179780,51893.4,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,6907.71,2703.41,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,174603,49690.5,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,174389,50033.3,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,3585.93,859.873,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,177489,49388.9,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,176564,49536.2,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,1672.35,259.703,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,175172,49754.2,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,175422,49652.3,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,3128.93,817.516,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,172283,48706.7,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,172143,48528.8,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,727.974,325.092,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,175929,49804.4,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,176226,49098.8,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,2267.53,1531.24,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,177222,50370.9,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,178277,49901.3,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,4106.89,2122.1,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,174615,50027.1,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,174772,50186.2,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,2307.64,328.09,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,182986,51214.9,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,182348,51100.1,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,1650.4,459.633,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,229472,56984.7,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,229650,57901.3,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,3387.12,1936.11,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,384678,62478.9,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,386970,61664,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,4922.04,2287.3,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,1.1011e+06,148638,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,1.10054e+06,147030,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,3866.48,3780.6,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,3.91062e+06,411466,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,3.98415e+06,406967,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,119130,19557.4,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1/manual_time_mean",5,488133,141414,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1/manual_time_median",5,493627,140078,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/1/manual_time_stddev",5,11954.3,3315.02,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4/manual_time_mean",5,481001,139741,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4/manual_time_median",5,482292,140054,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/4/manual_time_stddev",5,8602.21,2487.06,ns,,,,,
"student_t_lpdf_Prim_real_Prim_real_Prim_real_Rev_vector/16/manual_time_mean",5,483750,143294,ns,,,,,
