name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,225938,57269.6,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,223525,55613.5,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,12095.5,5175.65,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,219437,52795.8,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,222059,52386.2,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,6547.79,1630.66,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,212774,52396.8,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,213147,52442.7,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,1985.99,332.129,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,216792,53088.3,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,215917,53255.3,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,2668.75,271.795,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,213396,52430.9,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,212527,52339.5,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,2945.8,407.152,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,216238,54095.3,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,215443,53813.5,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,3252.05,1193.53,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,214999,53133.4,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,214242,52906.2,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,3749.72,705.804,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,216775,54142.1,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,216435,53573.7,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,5186.49,1329.97,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,223325,56468.5,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,223349,56961.7,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,2696.1,1407.11,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,266455,63579.9,ns,,,,,
"uniform_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,268282,63937.5,ns,,,,,
