name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,209092,52594.3,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,210397,51590.4,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,8183.93,4005.69,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,200519,48396.8,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,200061,48078.1,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,1477.8,970.146,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,199806,49652.4,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,199822,49839.7,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,2131.62,1540.37,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,199814,49196.8,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,198705,48297.1,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,3775.29,1970.18,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,197691,48694.7,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,196621,48779.7,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,2606.35,730.903,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,194222,47415.1,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,193220,47501.4,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,1668.22,345.481,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,200167,48345.7,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,199169,48128.5,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,3725.56,1286.6,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,202395,49902.1,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,201933,50159.8,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,4364.85,866.548,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,214325,52890.9,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,213695,52764.3,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,1262.34,558.348,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,285749,60482.4,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,286938,60460,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,2639.63,1182.29,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,562986,79208.8,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,565208,81451.3,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,8795.43,5975.78,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,1.80534e+06,251591,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,1.78599e+06,252336,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,38541.5,18828.5,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,6.44327e+06,704857,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,6.5391e+06,722565,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,309497,49680.5,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_mean",5,520352,142477,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_median",5,520823,140718,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_stddev",5,2965.9,6679.14,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_mean",5,508237,140427,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_median",5,508608,140318,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_stddev",5,3707.5,2039.34,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_mean",5,510281,139432,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_median",5,511790,140048,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_stddev",5,5824.34,2914.76,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_mean",5,505679,140043,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_median",5,505579,140374,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_stddev",5,6570.68,4474.02,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_mean",5,508905,144734,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_median",5,509429,144145,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_stddev",5,7519.01,4622.53,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_mean",5,514203,148295,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_median",5,513671,145210,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_stddev",5,9710,7580.19,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_mean",5,531137,157570,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_median",5,531926,157892,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_stddev",5,4958.11,1639.84,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_mean",5,625677,208573,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_median",5,625749,206288,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_stddev",5,6880.25,5368.78,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_mean",5,1.08015e+06,477987,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_median",5,1.07586e+06,475999,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_stddev",5,15360.2,12613.3,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_mean",5,3.65604e+06,2.0175e+06,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_median",5,3.67138e+06,2.02927e+06,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_stddev",5,64849.5,45594.8,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_mean",5,1.41848e+07,1.13665e+07,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_median",5,1.41647e+07,1.12886e+07,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/1048576/manual_time_stddev",5,116253,129654,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_mean",5,5.40877e+07,4.3279e+07,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_median",5,5.4129e+07,4.31872e+07,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/4194304/manual_time_stddev",5,474410,395773,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_mean",5,1.86331e+08,1.59593e+08,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_median",5,1.86438e+08,1.59584e+08,ns,,,,,
"weibull_lpdf_Prim_real_Prim_real_Rev_vector/16777216/manual_time_stddev",5,626171,286382,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/1/manual_time_mean",5,289064,66525.6,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/1/manual_time_median",5,290697,66804.2,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/1/manual_time_stddev",5,9387.5,1247.79,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/4/manual_time_mean",5,284692,64830.2,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/4/manual_time_median",5,289795,64961.8,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/4/manual_time_stddev",5,10608.8,802.652,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/16/manual_time_mean",5,282507,64448.3,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/16/manual_time_median",5,282280,64802.4,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/16/manual_time_stddev",5,5570.74,1444.17,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/64/manual_time_mean",5,279920,64312,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/64/manual_time_median",5,281113,64797.8,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/64/manual_time_stddev",5,5823.78,1363.44,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/256/manual_time_mean",5,276337,64567.3,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/256/manual_time_median",5,275499,64174.8,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/256/manual_time_stddev",5,6075.72,1823.22,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/1024/manual_time_mean",5,283998,64410.4,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/1024/manual_time_median",5,282492,64451.6,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/1024/manual_time_stddev",5,7569.04,610.676,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/4096/manual_time_mean",5,274949,64699.6,ns,,,,,
"weibull_lpdf_Prim_real_Rev_real_Prim_vector/4096/manual_time_median",5,274275,64647.2,ns,,,,,
